"GISJOIN","pct99_00","pct199_00","pct200_00","NHGISCODE","GJOIN1990","GJOIN2012","origGEOID"
"G3400050700102",2.7536231884058,13.4420289855072,86.5579710144928,"G3400050700102","G3400050700102","G3400050700102","34005700102"
"G3400050700103",3.37703615415177,10.9257052046087,89.0742947953913,"G3400050700103","G3400050700103","G3400050700103","34005700103"
"G3400050700104",7.55781161872532,26.4523406655386,73.5476593344614,"G3400050700104","G3400050700104","G3400050700104","34005700104"
"G3400050700200",3.10723758999621,9.96589617279272,90.0341038272073,"G3400050700200","G34000507002","G3400050700200","34005700200"
"G3400050700303",3.05602716468591,14.6010186757216,85.3989813242784,"G3400050700303","G3400050700303","G3400050700303","34005700303"
"G3400050700304",3.14113597246127,10.197934595525,89.802065404475,"G3400050700304","G3400050700304","G3400050700304","34005700304"
"G3400050700305",3.32307692307692,7.71282051282051,92.2871794871795,"G3400050700305","G3400050700305","G3400050700305","34005700305"
"G3400050700306",1.78087495160666,6.46535036778939,93.5346496322106,"G3400050700306","G3400050700306","G3400050700306","34005700306"
"G3400050700307",0,4.12147505422994,95.8785249457701,"G3400050700307","G3400050700307","G3400050700307","34005700307"
"G3400050700401",4.31547619047619,9.1765873015873,90.8234126984127,"G3400050700401","G3400050700401","G3400050700401","34005700401"
"G3400050700402",5.9485054749926,15.7738976028411,84.2261023971589,"G3400050700402","G3400050700402","G3400050700402","34005700402"
"G3400050700403",4.90483162518302,18.4236212786725,81.5763787213275,"G3400050700403","G3400050700403","G3400050700403","34005700403"
"G3400050700405",3.00230946882217,14.838337182448,85.161662817552,"G3400050700405","G3400050700405","G3400050700405","34005700405"
"G3400050700406",6.21266427718041,18.2530200451347,81.7469799548653,"G3400050700406","G3400050700406","","34005700406"
"G3400050700501",4.04677928346018,10.9522925561537,89.0477074438463,"G3400050700501","G3400050700501","G3400050700501","34005700501"
"G3400050700502",7.07570509648689,11.9742701632855,88.0257298367145,"G3400050700502","G3400050700502","G3400050700502","34005700502"
"G3400050700503",3.67911479944675,9.76486860304288,90.2351313969571,"G3400050700503","G3400050700503","G3400050700503","34005700503"
"G3400050700504",3.06579400620048,13.5032724767482,86.4967275232518,"G3400050700504","G3400050700504","G3400050700504","34005700504"
"G3400050700505",1.07097858042839,1.78496430071399,98.215035699286,"G3400050700505","G3400050700505","G3400050700505","34005700505"
"G3400050700602",2.39840106595603,8.34998889629136,91.6500111037086,"G3400050700602","G3400050700602","G3400050700602","34005700602"
"G3400050700603",8.17260542661,21.5756783262504,78.4243216737496,"G3400050700603","G3400050700603","G3400050700603","34005700603"
"G3400050700605",0.592320261437909,6.00490196078431,93.9950980392157,"G3400050700605","G3400050700605","G3400050700605","34005700605"
"G3400050700701",8.99967627063775,21.2042732275817,78.7957267724183,"G3400050700701","G3400050700701","G3400050700701","34005700701"
"G3400050700702",3.83795309168443,18.1236673773987,81.8763326226013,"G3400050700702","G3400050700702","G3400050700702","34005700702"
"G3400050700703",11.3551595524244,27.4347285536676,72.5652714463324,"G3400050700703","G3400050700703","G3400050700703","34005700703"
"G3400050700800",9.45150294391075,18.9649829563062,81.0350170436938,"G3400050700800","G34000507008","G3400050700800","34005700800"
"G3400050701001",11.4671610169492,21.2129237288136,78.7870762711864,"G3400050701001","G3400050701001","G3400050701001","34005701001"
"G3400050701002",5.96868884540117,12.8424657534247,87.1575342465753,"G3400050701002","G3400050701002","G3400050701002","34005701002"
"G3400050701102",2.73119310014375,10.1581217057978,89.8418782942022,"G3400050701102","G3400050701102","G3400050701102","34005701102"
"G3400050701103",3.80162433039571,12.7527216174184,87.2472783825817,"G3400050701103","G3400050701103","G3400050701103","34005701103"
"G3400050701104",8.84279475982533,23.82096069869,76.17903930131,"G3400050701104","G3400050701104","G3400050701104","34005701104"
"G3400050701105",4.70925470925471,13.5954135954136,86.4045864045864,"G3400050701105","G3400050701105","G3400050701105","34005701105"
"G3400050701201",5.86838534599729,16.3500678426052,83.6499321573948,"G3400050701201","G3400050701201","G3400050701201","34005701201"
"G3400050701203",8.34670947030498,20.3852327447833,79.6147672552167,"G3400050701203","G3400050701203","G3400050701203","34005701203"
"G3400050701204",11.3127413127413,40.6949806949807,59.3050193050193,"G3400050701204","G3400050701204","G3400050701204","34005701204"
"G3400050701205",6.72489082969432,22.7510917030568,77.2489082969432,"G3400050701205","G3400050701205","G3400050701205","34005701205"
"G3400050701301",8.17008014247551,19.3232413178985,80.6767586821015,"G3400050701301","G3400050701301","G3400050701301","34005701301"
"G3400050701302",4.47817836812144,14.573055028463,85.426944971537,"G3400050701302","G3400050701302","G3400050701302","34005701302"
"G3400050701303",4.80523173158942,10.7477964174012,89.2522035825988,"G3400050701303","G3400050701303","G3400050701303","34005701303"
"G3400050701401",4.90993608367228,8.80302149912841,91.1969785008716,"G3400050701401","","G3400050701401","34005701401"
"G3400050701402",3.58009708737864,10.6796116504854,89.3203883495146,"G3400050701402","","G3400050701402","34005701402"
"G3400050701501",2.57874015748031,9.78346456692914,90.2165354330709,"G3400050701501","G3400050701501","","34005701501"
"G3400050701502",3.1479217603912,12.3777506112469,87.6222493887531,"G3400050701502","G3400050701502","G3400050701502","34005701502"
"G3400050701600",1.89393939393939,11.9318181818182,88.0681818181818,"G3400050701600","G34000507016","","34005701600"
"G3400050701700",6.75469781615033,19.4768918232605,80.5231081767395,"G3400050701700","G34000507017","G3400050701700","34005701700"
"G3400050701801",1.63297045101089,5.7153965785381,94.2846034214619,"G3400050701801","","","34005701801"
"G3400050701802",10.2564102564103,10.2564102564103,89.7435897435898,"G3400050701802","","","34005701802"
"G3400050701900",2.95229097779877,15.3046764289088,84.6953235710912,"G3400050701900","G34000507019","","34005701900"
"G3400050702000",25.4261363636364,50.2840909090909,49.7159090909091,"G3400050702000","G34000507020","","34005702000"
"G3400050702104",1.98807157057654,8.94632206759443,91.0536779324056,"G3400050702104","G3400050702104","","34005702104"
"G3400050702109",3.53510895883777,22.3728813559322,77.6271186440678,"G3400050702109","","","34005702109"
"G3400050702112",0,0,100,"G3400050702112","","","34005702112"
"G3400050702203",6.47879140034863,15.3399186519465,84.6600813480535,"G3400050702203","G3400050702203","G3400050702203","34005702203"
"G3400050702205",11.8140337896165,22.9498088543594,77.0501911456406,"G3400050702205","G3400050702205","","34005702205"
"G3400050702206",12.1719709659408,20.7705192629816,79.2294807370184,"G3400050702206","G3400050702206","G3400050702206","34005702206"
"G3400050702207",10.1598762248582,26.6116554925219,73.3883445074781,"G3400050702207","G3400050702207","G3400050702207","34005702207"
"G3400050702208",4.07505951547402,14.087662792326,85.912337207674,"G3400050702208","G3400050702208","G3400050702208","34005702208"
"G3400050702300",7.77502067824648,22.4152191894127,77.5847808105873,"G3400050702300","G34000507023","G3400050702300","34005702300"
"G3400050702400",3.60136603539274,7.26482458863707,92.7351754113629,"G3400050702400","G34000507024","G3400050702400","34005702400"
"G3400050702500",2.89222814671191,12.7161092260462,87.2838907739538,"G3400050702500","G34000507025","G3400050702500","34005702500"
"G3400050702601",5.44720914593141,12.6653216767541,87.3346783232459,"G3400050702601","G3400050702601","G3400050702601","34005702601"
"G3400050702602",11.5971515768057,15.971515768057,84.028484231943,"G3400050702602","G3400050702602","","34005702602"
"G3400050702700",2.51502025988543,10.2137767220903,89.7862232779097,"G3400050702700","G34000507027","G3400050702700","34005702700"
"G3400050702801",1.41280353200883,8.60927152317881,91.3907284768212,"G3400050702801","G3400050702801","G3400050702801","34005702801"
"G3400050702802",8.6655592469546,19.5182724252492,80.4817275747508,"G3400050702802","G3400050702802","G3400050702802","34005702802"
"G3400050702803",3.05305305305305,8.98398398398398,91.016016016016,"G3400050702803","G3400050702803","G3400050702803","34005702803"
"G3400050702804",10.3271983640082,17.5869120654397,82.4130879345603,"G3400050702804","G3400050702804","G3400050702804","34005702804"
"G3400050702805",7.56636070453982,19.0523443314314,80.9476556685686,"G3400050702805","G3400050702805","G3400050702805","34005702805"
"G3400050702806",7.08364732479277,20.4471238382316,79.5528761617684,"G3400050702806","G3400050702806","G3400050702806","34005702806"
"G3400050702807",5.4860088365243,15.7584683357879,84.2415316642121,"G3400050702807","G3400050702807","G3400050702807","34005702807"
"G3400050702808",8.13520481237468,16.0985391005443,83.9014608994557,"G3400050702808","G3400050702808","G3400050702808","34005702808"
"G3400050702809",1.91082802547771,11.8471337579618,88.1528662420382,"G3400050702809","G3400050702809","G3400050702809","34005702809"
"G3400050702810",3.36435218324982,11.7394416607015,88.2605583392985,"G3400050702810","G3400050702810","G3400050702810","34005702810"
"G3400050702811",2.43370868143843,9.84380675626589,90.1561932437341,"G3400050702811","G3400050702811","G3400050702811","34005702811"
"G3400050702905",1.80201826045171,5.7424315233061,94.2575684766939,"G3400050702905","G3400050702905","G3400050702905","34005702905"
"G3400050702906",1.18986032074496,6.46663217796172,93.5333678220383,"G3400050702906","G3400050702906","G3400050702906","34005702906"
"G3400050702907",3.26157860404436,9.55642530984997,90.44357469015,"G3400050702907","","G3400050702907","34005702907"
"G3400050702908",4.32017543859649,8.46491228070175,91.5350877192982,"G3400050702908","","G3400050702908","34005702908"
"G3400050702909",3.39862715553323,8.95697304537084,91.0430269546292,"G3400050702909","","G3400050702909","34005702909"
"G3400050702910",2.92207792207792,6.16883116883117,93.8311688311688,"G3400050702910","","G3400050702910","34005702910"
"G3400050702911",3.03257207038562,9.01035816797704,90.989641832023,"G3400050702911","","","34005702911"
"G3400050702912",3.54487519915029,10.9134360063728,89.0865639936272,"G3400050702912","","","34005702912"
"G3400050703000",2.9519394974384,10.3195901439375,89.6804098560625,"G3400050703000","G34000507030","G3400050703000","34005703000"
"G3400050703101",4.20898217106748,12.5818099751749,87.4181900248251,"G3400050703101","G3400050703101","","34005703101"
"G3400050703102",0.627943485086342,7.45682888540031,92.5431711145997,"G3400050703102","G3400050703102","G3400050703102","34005703102"
"G3400050703201",4.1165463779738,12.4031007751938,87.5968992248062,"G3400050703201","G3400050703201","G3400050703201","34005703201"
"G3400050703202",4.0641312453393,10.1789709172259,89.821029082774,"G3400050703202","G3400050703202","G3400050703202","34005703202"
"G3400050703203",3.53982300884956,20.6663196251952,79.3336803748048,"G3400050703203","G3400050703203","G3400050703203","34005703203"
"G3400050703300",2.882096069869,13.1877729257642,86.8122270742358,"G3400050703300","G34000507033","","34005703300"
"G3400050703400",5.23932729624838,18.111254851229,81.888745148771,"G3400050703400","G34000507034","","34005703400"
"G3400050703500",16.0377358490566,29.4811320754717,70.5188679245283,"G3400050703500","G34000507035","","34005703500"
"G3400050703600",2.03246294989414,6.73253352152435,93.2674664784757,"G3400050703600","G34000507036","G3400050703600","34005703600"
"G3400050703700",2.62172284644195,7.20973782771536,92.7902621722846,"G3400050703700","G34000507037","G3400050703700","34005703700"
"G3400050703801",2.11772033634382,4.07972594207412,95.9202740579259,"G3400050703801","G3400050703801","G3400050703801","34005703801"
"G3400050703802",4.3069694596711,10.1801096319499,89.8198903680501,"G3400050703802","G3400050703802","G3400050703802","34005703802"
"G3400050703803",1.60178426601784,4.0551500405515,95.9448499594485,"G3400050703803","G3400050703803","G3400050703803","34005703803"
"G3400050703804",0.439431668375568,3.5593965138421,96.4406034861579,"G3400050703804","G3400050703804","G3400050703804","34005703804"
"G3400050703900",2.13429256594724,6.33093525179856,93.6690647482014,"G3400050703900","G34000507039","G3400050703900","34005703900"
"G3400050704004",5.14511873350923,13.6939313984169,86.3060686015831,"G3400050704004","G3400050704004","G3400050704004","34005704004"
"G3400050704005",0.704798048251559,5.17755489292491,94.8224451070751,"G3400050704005","G3400050704005","G3400050704005","34005704005"
"G3400050704006",0.617828773168579,5.33980582524272,94.6601941747573,"G3400050704006","G3400050704006","G3400050704006","34005704006"
"G3400050704007",4.69759248385203,12.6247798003523,87.3752201996477,"G3400050704007","G3400050704007","G3400050704007","34005704007"
