"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G42010100196",40.5351437699681,66.9329073482428,30.3514376996805,"G4201010019600","G4201010019600","","4210119600"
"G42010100197",37.2740094883959,61.8027952301577,33.9402487498397,"G4201010019700","G4201010019700","G4201010019700","4210119700"
"G42010100198",42.366026289181,61.0862342914921,37.642640473783,"G4201010019800","G4201010019800","G4201010019800","4210119800"
"G42010100199",57.6793721973094,74.1778774289985,21.7488789237668,"G4201010019900","G4201010019900","G4201010019900","4210119900"
"G42010100200",23.3816964285714,53.3482142857143,42.5223214285714,"G4201010020000","G4201010020000","G4201010020000","4210120000"
"G42010100201",31.5280221161096,58.8464438301081,37.2581050515205,"G4201010020100","G4201010020100","","4210120100"
"G42010100202",26.6633890527696,49.6066863323501,45.8046542117339,"G4201010020200","G4201010020200","G4201010020200","4210120200"
"G42010100203",27.788178657395,49.7191762503343,47.5795667290719,"G4201010020300","G4201010020300","G4201010020300","4210120300"
"G42010100204",29.2657157950343,53.6450079239303,42.7892234548336,"G4201010020400","G4201010020400","G4201010020400","4210120400"
"G42010100205",28.975468975469,51.6017316017316,48.3982683982684,"G4201010020500","G4201010020500","G4201010020500","4210120500"
"G42010100206",8.58585858585858,16.2247474747475,81.4393939393939,"G4201010020600","G4201010020600","G4201010020600","4210120600"
"G42010100207",23.266688165108,34.1986455981941,64.3663334408255,"G4201010020700","G4201010020700","G4201010020700","4210120700"
"G42010100208",11.6465863453815,14.9397590361446,82.3293172690763,"G4201010020800","G4201010020800","G4201010020800","4210120800"
"G42010100209",5.01161632923996,23.7636906737471,73.0169266511782,"G4201010020900","G4201010020900","G4201010020900","4210120900"
"G42010100210",5.6855575868373,17.3491773308958,77.3308957952468,"G4201010021000","G4201010021000","G4201010021000","4210121000"
"G42010100211",5.7153965785381,14.2301710730949,85.2643856920684,"G4201010021100","G4201010021100","G4201010021100","4210121100"
"G42010100212",3.92477514309076,14.7996729354047,84.5053147996729,"G4201010021200","G4201010021200","G4201010021200","4210121200"
"G42010100213",6.15828092243187,21.0429769392034,76.1792452830189,"G4201010021300","G4201010021300","G4201010021300","4210121300"
"G42010100214",12.34375,26.6666666666667,67.3958333333333,"G4201010021400","G4201010021400","G4201010021400","4210121400"
"G42010100215",8.18615082702551,19.259882253995,78.2169890664424,"G4201010021500","G4201010021500","G4201010021500","4210121500"
"G42010100216",4.93653032440056,24.4005641748942,75.5994358251058,"G4201010021600","G4201010021600","G4201010021600","4210121600"
"G42010100217",2.71628199089339,7.89762914115246,90.4537604019469,"G4201010021700","G4201010021700","G4201010021700","4210121700"
"G42010100218",9.19881305637982,16.0731948565776,82.8387734915925,"G4201010021800","G4201010021800","G4201010021800","4210121800"
"G42010100219",3.06198655713219,12.3973114264376,86.706497386109,"G4201010021900","G4201010021900","G4201010021900","4210121900"
"G42010100220",2.82286520818631,7.83345095271701,91.0374029640085,"G4201010022000","G4201010022000","G4201010022000","4210122000"
"G42010100221",1.78419711129992,6.96686491079014,93.0331350892098,"G4201010022100","G4201010022100","","4210122100"
"G42010100222",2.5705329153605,6.77115987460815,92.7899686520376,"G4201010022200","G4201010022200","","4210122200"
"G42010100223",28.5714285714286,29.9765807962529,68.1498829039813,"G4201010022300","G4201010022300","","4210122300"
"G42010100224",0,16.025641025641,83.974358974359,"G4201010022400","G4201010022400","","4210122400"
"G42010100225",0,3.59712230215827,96.4028776978417,"G4201010022500","G4201010022500","","4210122500"
"G42010100226",24.6913580246914,31.8518518518519,68.1481481481482,"G4201010022600","G4201010022600","","4210122600"
"G42010100227",2.42047026279391,4.84094052558783,89.9031811894883,"G4201010022700","G4201010022700","","4210122700"
"G42010100228",2.51529571719918,8.08973487423521,91.9102651257648,"G4201010022800","G4201010022800","","4210122800"
"G42010100229",3.82165605095541,3.82165605095541,96.1783439490446,"G4201010022900","G4201010022900","","4210122900"
"G42010100230",0,2.73348519362187,97.2665148063781,"G4201010023000","G4201010023000","","4210123000"
"G42010100231",1.3953488372093,3.87596899224806,94.3410852713178,"G4201010023100","G4201010023100","G4201010023100","4210123100"
"G42010100232",11.0157367668097,16.4520743919886,79.3991416309013,"G4201010023200","G4201010023200","","4210123200"
"G42010100233",5.56586270871985,14.7186147186147,84.539270253556,"G4201010023300","G4201010023300","","4210123300"
"G42010100234",12.8595600676819,15.2284263959391,84.7715736040609,"G4201010023400","G4201010023400","","4210123400"
"G42010100235",1.94647201946472,8.43471208434712,90.4298459042985,"G4201010023500","G4201010023500","G4201010023500","4210123500"
"G42010100236",2.63473053892216,9.06187624750499,89.7005988023952,"G4201010023600","G4201010023600","G4201010023600","4210123600"
"G42010100237",13.2376717865804,24.8383185125303,71.9886822958771,"G4201010023700","G4201010023700","G4201010023700","4210123700"
"G42010100238",9.28308823529412,25.8961397058824,72.1047794117647,"G4201010023800","G4201010023800","G4201010023800","4210123800"
"G42010100239",23.9194789816459,38.8395500296033,59.9763173475429,"G4201010023900","G4201010023900","G4201010023900","4210123900"
"G42010100240",29.7775651757953,38.8184644821813,58.4309973690505,"G4201010024000","G4201010024000","G4201010024000","4210124000"
"G42010100241",36.8539325842697,60.5243445692884,37.3033707865169,"G4201010024100","G4201010024100","G4201010024100","4210124100"
"G42010100242",19.6702002355713,38.7043580683157,58.5394581861013,"G4201010024200","G4201010024200","G4201010024200","4210124200"
"G42010100243",15.5778894472362,30.3334856098675,64.7784376427592,"G4201010024300","G4201010024300","G4201010024300","4210124300"
"G42010100244",25.4110181713297,46.466685895587,50.8220363426594,"G4201010024400","G4201010024400","G4201010024400","4210124400"
"G42010100245",34.1328003553187,51.6322451698867,46.1025982678215,"G4201010024500","G4201010024500","G4201010024500","4210124500"
"G42010100246",40.9791477787851,57.2680568147477,38.4406165004533,"G4201010024600","G4201010024600","G4201010024600","4210124600"
"G42010100247",26.246387283237,47.7601156069364,50,"G4201010024700","G4201010024700","G4201010024700","4210124700"
"G42010100248",18.6097668279806,38.8033435987682,60.8007039155301,"G4201010024800","G4201010024800","G4201010024800","4210124800"
"G42010100249",28.0633373934227,40,57.2472594397077,"G4201010024900","G4201010024900","G4201010024900","4210124900"
"G42010100250",28.6223277909739,32.8978622327791,51.3064133016627,"G4201010025000","G4201010025000","","4210125000"
"G42010100251",11.4564831261101,16.3854351687389,80.461811722913,"G4201010025100","G4201010025100","","4210125100"
"G42010100252",17.985710359989,37.5652651827425,59.5493267381149,"G4201010025200","G4201010025200","G4201010025200","4210125200"
"G42010100253",18.4383819379116,36.8532455315146,62.0884289746002,"G4201010025300","G4201010025300","G4201010025300","4210125300"
"G42010100254",9.02673796791444,21.5187165775401,76.6631016042781,"G4201010025400","G4201010025400","G4201010025400","4210125400"
"G42010100255",6.9429298436932,17.9934569247546,81.7520901490367,"G4201010025500","G4201010025500","G4201010025500","4210125500"
"G42010100256",2.89343683839097,10.8680310515173,88.3909668313338,"G4201010025600","G4201010025600","G4201010025600","4210125600"
"G42010100257",9.63786712289706,19.8745366410037,78.0724265754206,"G4201010025700","G4201010025700","G4201010025700","4210125700"
"G42010100258",5.67734682405846,19.2804946599213,79.707700955593,"G4201010025800","G4201010025800","G4201010025800","4210125800"
