GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d
34007606400,686.1,0.033178500331785,0.1028533510285335,100,310,3014
34007606500,161.5,0.3061855670103093,0.957147754542338,891,2792,2910
34007606600,233,0.16397228637413394,0.05570776255707763,355,122,2165
34007606700,188.8,0.19300575475874282,0.10409002380437135,872,481,4518
34007606800,183.5,0.284524449220849,0.2861364857603439,1059,1065,3722
34007607000,148.4,0.37992831541218636,0.19690860215053763,1696,879,4464
34007607100,165.8,0.22496644295302012,0.13691275167785236,838,510,3725
34007607200,170.4,0.371717606543263,0.37141020145735104,1727,1733,4646
34007607300,154.6,0.2647610121836926,0.2948955916473318,1130,1271,4268
34007607401,167.7,0.2403495994173343,0.36951833213515456,660,1028,2746
34007607402,164,0.1700189753320683,0.47703984819734346,448,1257,2635
34007607502,310.6,0.14330646746609002,0.2836059743954481,729,1595,5087
34007607503,321.2,0.09453302961275627,0.3400396281054717,581,2231,6146
34007607504,383.9,0.0467869222096956,0.2077226606538895,166,737,3548
34007607505,347.8,0.11714165968147527,0.2730125523012552,559,1305,4772
34007607506,140.3,0.15587808417997098,0.5933333333333334,537,2047,3445
34007607507,204.5,0.26133629465111974,0.4849714180342984,1412,2630,5403
34007607600,199.3,0.1427260211106012,0.0961978928080623,311,210,2179
34007607701,118.7,0.5603726262988177,0.8059835184521676,3128,4499,5582
34007607702,132.1,0.28313253012048195,0.50600764609503,1034,1853,3652
34007607801,114.2,0.5428334714167357,0.7030654515327258,3276,4243,6035
34007607802,122.1,0.259763851044505,0.3510445049954587,572,773,2202
34007607900,175.5,0.12952281069743052,0.11006781429316641,247,211,1907
34007608001,159.8,0.22557262974775297,0.3227022325311685,778,1113,3449
34007608202,193.4,0.09621993127147767,0.23341263547449115,364,883,3783
34007608205,228.9,0.1272682687591957,0.07782672540381791,519,318,4078
34007608206,188.4,0.1636064675253494,0.17983055479639246,597,658,3649
34007608209,226.5,0.23518575376112988,0.29996929689898677,766,977,3257
34007608210,215.9,0.4365979381443299,0.46895130121102807,1694,1820,3880
34007608211,163.4,0.21614844533600802,0.5315947843530592,1293,3180,5982
34007608302,171.7,0.36690017513134854,0.26379159369527144,1676,1205,4568
34007608303,196.8,0.26079506511309114,0.12508567511994517,761,365,2918
34007608304,183.9,0.22278990555813594,0.24322650565102957,1439,1571,6459
34007608401,185.1,0.229607250755287,0.22359940505701537,912,902,3972
34007608402,250.8,0.17920242301867745,0.24634023220595658,710,976,3962
34007608403,231,0.14224992915840182,0.4624539529611788,1004,3264,7058
34007608404,208.7,0.2015025041736227,0.337866976281307,1207,2037,5990
34007608503,124.5,0.3698245614035088,0.4770034843205575,1054,1369,2850
34007608504,132.7,0.4396933058094957,0.5691536419935123,1491,1930,3391
34007608600,128.6,0.4099227328182188,0.4234745590918305,2016,2089,4918
34007608700,232.3,0.17568111662864044,0.16749868628481346,1309,1275,7451
34007608800,177.9,0.2504136789851076,0.2308820832569228,1362,1259,5439
34007608901,180.7,0.18400802944128472,0.20343218927024326,1100,1221,5978
34007608903,213.8,0.05921250375713856,0.08325819056206793,197,277,3327
34007608904,213.8,0.2084507042253521,0.06408450704225352,296,91,1420
34007609000,160.3,0.3331303288672351,0.6387370977534912,547,1052,1642
34007609103,179.5,0.19889922186373127,0.36409490005604334,1048,1949,5269
34007609201,165.1,0.21415313225058005,0.495512082853855,923,2153,4310
34007609202,155.2,0.2124922183025524,0.8249123530624871,1024,4000,4819
34007609203,222.7,0.1969087444420919,0.5567249000210482,1860,5290,9446
34007609204,114.3,0.4506201194304088,0.8990615701533532,1962,3928,4354
34007609205,218.1,0.12613057062983063,0.3254670599803343,767,1986,6081
34007610300,131.6,0.521875,0.7709054923305294,835,1558,1600
34007610400,91.7,0.7167677881963597,0.8791230112533954,2599,4531,3626
34007610500,153.5,0.26463899943149516,0.8751586965721541,1862,6204,7036
34007610600,NA,0.3236397748592871,0.4895498392282958,345,609,1066
34007610800,120.3,0.5040431266846361,0.6913746630727763,1496,2052,2968
34007610900,190.4,0.1576725957190232,0.04670081349804158,523,155,3317
34007611000,89.9,0.361003861003861,0.33116160813602413,2244,2084,6216
34007611100,164.1,0.41383495145631066,0.30188106796116504,1364,995,3296
34007611200,188.1,0.16501498041023277,0.1392462198149402,716,617,4339
34007611300,175.4,0.35185185185185186,0.13262964662689308,1406,578,3996
34007611400,143.5,0.22253521126760564,0.1903755868544601,948,811,4260
34007611500,195.2,0.19087719298245615,0.18678340629560142,816,896,4275
34007611600,229,0.32715404699738904,0.3514360313315927,1253,1346,3830
34007611700,168.5,0.14581312641448432,0.1054498548855208,451,327,3093
34015500100,158,0.2697134738337675,0.1607861709685058,1139,679,4223
34015500201,179,0.20049403046521203,0.09427748044462742,487,229,2429
34015500202,187.8,0.23199461521202602,0.15054969710567648,1034,671,4457
34015500203,201.8,0.1698198198198198,0.0877665544332211,754,391,4440
34015500204,302.8,0.09335197266231748,0.2906711307259169,601,1910,6438
34015500205,212.1,0.21449359720605354,0.08469150174621654,737,291,3436
34015500300,151.1,0.27929753461668355,0.08839226150767178,827,265,2961
34015500400,113.6,0.43484087102177554,0.29346733668341707,2596,1752,5970
34015500500,180.9,0.1792336217552534,0.06829870397037646,870,332,4854
34015500600,305.6,0.08213411649534998,0.18468992248062016,839,1906,10215
34015500701,180.9,0.1814997405293202,0.08977685521536066,1399,692,7708
34015500702,245,0.06829268292682927,0.07398373983739838,420,455,6150
34015500703,302.7,0.15654952076677317,0.0902555910543131,196,113,1252
34015500800,272.8,0.09940720474236206,0.08572731418148655,218,188,2193
34015500900,203.8,0.15451505016722408,0.09242021276595745,462,278,2990
34015501001,148.9,0.15488867376573087,0.2765957446808511,320,572,2066
34015501002,184.7,0.47334602570204665,0.6027332704995287,1989,2558,4202
34015501003,167.5,0.2891137855579869,0.33478735005452565,1057,1228,3656
34015501101,153.9,0.3508102955195424,0.38659554730983303,1472,1667,4196
34015501102,222.9,0.11086637298091043,0.3378674857393594,755,2310,6810
34015501103,217.9,0.16791120080726538,0.19887278582930756,832,988,4955
34015501104,189.6,0.167718365991365,0.2698315467075038,505,881,3011
34015501105,160.4,0.15024288688410825,0.2366412213740458,433,682,2882
34015501106,202.2,0.17676370312090217,0.43438453713123093,674,1708,3813
34015501107,165.8,0.2190366972477064,0.11307339449541284,955,493,4360
34015501201,279.9,0.05249054224464061,0.14470365699873897,333,918,6344
34015501202,261.8,0.07934828607702074,0.10071942446043165,375,476,4726
34015501203,197,0.10383386581469649,0.03769968051118211,325,118,3130
34015501204,208.3,0.12234471632159183,0.06741573033707865,455,252,3719
34015501205,275.9,0.19004688063469166,0.17958889289578076,527,498,2773
34015501206,232.7,0.17237507018528916,0.20408712019360042,614,759,3562
34015501208,223.3,0.08980827447023208,0.107,356,428,3964
34015501209,277.7,0.19507575757575757,0.25533351336753984,1442,1891,7392
34015501210,235.3,0.08862175006989097,0.042773273693038856,317,153,3577
34015501212,159.1,0.11695137976346912,0.2588449531737773,445,995,3805
34015501213,260.1,0.0962566844919786,0.20526532291238173,468,998,4862
34015501301,197.9,0.17075232459847844,0.10960834037757115,606,389,3549
34015501302,151.4,0.18633093525179856,0.08237410071942446,518,229,2780
34015501303,202,0.15096618357487923,0.1321861556511537,375,338,2484
34015501402,163.8,0.5415625,0.3979591836734694,1733,1365,3200
34015501403,195.6,0.2097787489756897,0.2706971677559913,768,994,3661
34015501404,178,0.478134110787172,0.28376125375125044,492,851,1029
34015501405,206,0.18537452767281618,0.300730250055322,834,1359,4499
34015501406,192.6,0.40927207887560313,0.47010698552548774,1951,2241,4767
34015501500,185.9,0.29636643389750267,0.2861356932153392,2504,2425,8449
34015501603,167.4,0.22725091955861187,0.1704781704781705,1421,1066,6253
34015501604,216.3,0.2740272239791008,0.22739504843918193,1993,1690,7273
34015501605,165.3,0.21318090114324142,0.26027996500437445,951,1190,4461
34015501606,206.1,0.21272448837533064,0.28056872037914693,1528,2072,7183
34015501608,155.6,0.22431668237511782,0.25070688030160226,1190,1330,5305
34015501609,308.5,0.06849079332300809,0.3623113854595336,398,2113,5811
34015501701,218.9,0.12766747077379847,0.15317651416929062,688,827,5389
34015501702,206.4,0.17693836978131214,0.0831013916500994,445,209,2515
34015501703,189.3,0.2317544707588207,0.18825519574673755,959,779,4138
34015501704,184.3,0.32273028495692513,0.25115970841616964,1461,1137,4527
34015501800,195.9,0.1968019680196802,0.11869618696186962,320,193,1626
34015501900,235.2,0.27137637028014616,0.1916080523890371,1114,790,4105
34015502001,357.3,0.04129294296835336,0.061431714334066675,244,363,5909
34015502002,323.7,0.06207885304659498,0.09620071684587814,433,671,6975
34015502100,353.5,0.058712715855573,0.08181818181818182,187,261,3185
34015502200,330.4,0.08447225424007904,0.2363621426224121,1026,2877,12146
34015502300,200.9,0.29781525488692984,0.3572249904177846,777,932,2609
34015502400,202.1,0.08884401817264008,0.232429718875502,528,1389,5943
34021000100,95,0.5683407501589319,0.8115066751430388,1788,2553,3146
34021000200,79.2,0.6267036850075719,0.8245787908820614,2483,3328,3962
34021000300,102.6,0.4884205650764243,0.7524316813339509,2109,3249,4318
34021000400,74.7,0.5831592143752612,0.8879166666666667,2791,4262,4786
34021000500,90.2,0.6084135621598995,0.8639598158225199,2907,4128,4778
34021000600,105.3,0.392602495543672,0.8551693404634582,1762,3838,4488
34021000700,77.9,0.41968430826369546,0.8286594761171032,1356,2689,3231
34021000800,89.5,0.6972947761194029,0.9279112754158965,1495,2008,2144
34021000900,150,0.5936277249860257,0.885485651214128,2124,3209,3578
34021001000,69.8,0.67474171713573206,0.9058862653807782,1894,2724,2807
34021001101,126.6,0.5407114624505929,0.9727272727272728,1368,2461,2530
34021001102,73.7,0.7151265450264862,0.9720022624434389,2430,3437,3398
34021001200,163,0.3567527308838133,0.8016732283464567,1437,3258,4028
34021001300,209.5,0.2956730769230769,0.7596004439511653,984,3422,3328
34021001401,87,0.6429590865842055,0.9783539486203615,2703,4113,4204
34021001402,81.5,0.541645633518425,1,1073,1981,1981
34021001500,128.5,0.6781933662667607,0.9216949152542373,1922,2719,2834
34021001600,93.7,0.4387931034482759,0.9614740368509213,509,1148,1160
34021001700,73.1,0.6258720930232559,0.9738372093023255,2153,3350,3440
34021001800,83.7,0.481237322515213,0.5979294316501162,1898,2830,3944
34021001900,78.7,0.8290704928259514,0.982532751091703,1329,1575,1603
34021002000,75.6,0.7009841029523088,0.8410295230885693,926,1111,1321
34021002100,88.1,0.49825997952917095,0.9053038000406421,2434,4455,4885
34021002200,87.1,0.49078171091445427,0.9596256193797027,2662,5229,5424
34021002400,NA,NaN,0.8542168674698796,0,709,0
34021002500,173.7,0.3322039119051286,0.44155244109040503,2157,2867,6493
34021002601,155.3,0.42721028140926215,0.787502769776202,1928,3554,4513
34021002602,189.5,0.3298285714285714,0.48754285714285717,1443,2133,4375
34021002701,172.6,0.38078703703703703,0.5431671283471837,1645,2353,4320
34021002702,223.5,0.43407900999524035,0.3801364429636681,2736,2396,6303
34021002800,167.8,0.3542834267413931,0.8366693354683747,2655,6270,7494
34021002902,229.7,0.2524084778420039,0.48653270628473705,1179,2276,4671
34021002903,257.8,0.22825040128410914,0.2186195826645265,711,681,3115
34021002904,294.5,0.1572169901979627,0.20488179896213723,818,1066,5203
34021003001,347.7,0.06870360780252029,0.07572882525444195,398,439,5793
34021003002,322.4,0.0343980343980344,0.19810971089696072,182,1069,5291
34021003003,244.6,0.1068905980222885,0.14864228535551718,681,947,6371
34021003004,266.9,0.10944328329849895,0.23822188449848025,576,1254,5263
34021003006,292.6,0.04095972579263068,0.16795201371036847,239,980,5835
34021003007,257.2,0.09580318379160636,0.07670043415340087,331,265,3455
34021003008,283.2,0.10071942446043165,0.20416979714500375,504,1087,5004
34021003009,209.9,0.17988505747126438,0.2894636744009129,939,1522,5220
34021003100,222.7,0.2214621633176571,0.4439931594698589,1036,2077,4678
34021003201,267.7,0.21914609739826552,0.3531073446327684,1314,2750,5996
34021003202,310,0.1676300578034682,0.31810911675848585,928,1790,5536
34021003301,377.7,0.09456555112066319,0.16741621935296677,616,1154,6514
34021003302,416.3,0.07504215851602024,0.5850397494579619,623,4857,8302
34021003400,147.9,0.27040395713107995,0.7697160883280757,656,1952,2426
34021003500,191.7,0.2976882923191648,0.5117900044490583,1996,3451,6705
34021003601,211.5,0.25746835443037974,0.7136708860759494,1017,2819,3950
34021003602,183.9,0.29642058165548096,0.4180145008365867,1060,1499,3576
34021003703,233.8,0.2197227308396547,0.31554686408716304,840,2259,3823
34021003704,277.3,0.15688405797101448,0.2665237584851733,433,746,2760
34021003705,215.7,0.14816763107136594,0.32072421597154865,845,1984,5703
34021003706,314.6,0.1411730879815986,0.30276020701552614,491,1053,3478
34021003800,396.8,0.0706049822064057,0.21066387872451647,496,1612,7025
34021003902,423.6,0.0945602440264362,0.09919028340080972,186,196,1967
34021003903,562.5,0.09455808568120416,0.09340023157082207,245,242,2591
34021003904,416.5,0.054573536983010124,0.26823408271837995,318,1563,5827
34021003905,593.3,0.03211009174311927,0.09195859872611464,161,462,5014
34021004000,624.3,0.22242278379462496,0.3214419827262486,1109,1712,4986
34021004201,721.3,0.09069616135328562,0.2965481842679328,697,2311,7685
34021004203,1029,0.15240833932422718,0.3877306494128924,636,1618,4173
34021004204,960.9,0.1393266475644699,0.3415114613180516,778,1907,5584
34021004301,480,0.10343254647052115,0.6468249460411224,907,5694,8769
34021004304,640,0.043833580980683504,0.5284673335803384,354,4279,8076
34021004306,638.2,0.036209691947396865,0.5468040516940272,201,3131,5551
34021004307,602.8,0.07028076990994173,0.41515098004591205,398,2351,5663
34021004309,456.1,0.10599178022928835,0.14211550940947437,490,657,4623
34021004310,372.4,0.07341064402567819,0.2993373369227583,709,2891,9658
34021004403,274.2,0.26235882244028885,0.4888728062239913,1417,2702,5401
34021004404,210.9,0.21426592797783933,0.5682130112544607,1547,4140,7220
34021004405,401.6,0.1997109130330041,0.5543998087039694,1658,4637,8302
34021004406,295.4,0.26602631029442475,0.5228648987262476,1274,2504,4789
34021004407,342.9,0.2511129660545353,0.4483139856274185,1805,3244,7188
34021004501,822.9,0.08186101295641932,0.344483123959437,139,2276,1698
34021004502,1709.9,0.21630347054075869,0.20016142050040356,268,248,1239
42017100102,222.5,0.2953795379537954,0.30495049504950494,895,924,3030
42017100103,223.3,0.3500602167804095,0.14331593737454837,872,357,2491
42017100104,312.3,0.3953757225433526,0.523325635103926,1710,2266,4325
42017100105,255.7,0.25734355044699875,0.14814814814814814,806,472,3132
42017100201,232.8,0.22204362801377728,0.29390187987161853,967,1282,4355
42017100206,292.6,0.1644873981428842,0.34210526315789475,868,1807,5277
42017100207,267.3,0.36378937244529935,0.27093832493400527,1513,1129,4159
42017100208,232.4,0.4946148825065274,0.48198051948051945,3031,2969,6128
42017100209,287.7,0.19304893893460373,0.4040534713238465,1783,3748,9236
42017100210,240.5,0.293228051391863,0.2775695931477516,2191,2074,7472
42017100211,244.3,0.21557149129225817,0.18191086513253715,1473,1249,6833
42017100212,259.5,0.12576280180419208,0.22760800842992623,474,864,3769
42017100302,203.4,0.22208333333333333,0.10936205468102735,1066,528,4800
42017100303,191.8,0.37331622835150735,0.4815195071868583,1746,2345,4677
42017100304,187.1,0.4802348336594912,0.3432485322896282,1227,877,2555
42017100306,198.2,0.31142454160789845,0.37320169252468266,1104,1323,3545
42017100307,196.1,0.33068992862807295,0.2783810463968411,1668,1410,5044
42017100401,202.4,0.19338210841370138,0.19654140339208515,1163,1182,6014
42017100402,191.8,0.2618680857022826,0.17278139277308596,1870,1248,7141
42017100403,186.8,0.38972260118235563,0.5752614824920418,857,1265,2199
