GEOID,d_hous,d_li,d_nw,d_pop,rc_hous,rc_li,rc_nw,rc_pop,rr_hous,rr_li,rr_nw,rr_pop
34005700102,-0.055947361038273864,1.419928842688651,4.675,-0.0638812088678958,-12.150837142896528,3.9375819980853533,5.303219317157269,-0.4268420014857637,-0.39813223303508055,4.607528523277419,6.5582181827475665,-0.6057431906903361
34005700103,-0.07779500437506236,1.5224489467762585,1.776,0.19240951670281053,-16.89578223440492,4.221878861534387,2.0146561512879804,1.2856435353966928,-0.5536042850998613,4.940196111674733,2.4914214957346905,1.8244920005782765
34005700104,0.030124050308155962,0.20668057527972514,0.5426251691474966,-0.01372756829599371,6.54244315703149,0.573142602719718,0.6155423056681785,-0.09172498189744224,0.2143685634974369,0.6706580056543919,0.7612094653945639,-0.1301694374198625
34005700200,0.013801298356127622,1.321637421571116,2.6493506493506493,-0.005983547532389964,2.997412667437696,3.6650116278506126,3.005366319050164,-0.03998091848875593,0.09821270621771591,4.288582592483464,3.7165817328439577,-0.056738017926562946
34005700303,0.01855793391588688,1.7540983733396105,0.6041666666666666,0.5877757426065454,4.030474870232318,4.8642621870082925,0.685353655069344,3.9274049261933284,0.13206184408581814,5.691875567858254,0.8475415655065928,5.573488042049293
34005700304,-0.034024199724896,3.4246575329588307,2.1595744680851063,0.02050020470504537,-7.389490801751521,9.496863114529274,2.4497747670563785,0.1369784411134871,-0.24212278045496094,11.112674657475502,3.029510276704417,0.1943898624949152
34005700305,-0.021045885087703418,0.26339979231252647,1.0582913273878793,0.10222220413055189,-4.570816522585507,0.7304297576950084,1.2005028899643655,0.6830291877788676,-0.1497665854236613,0.8547062497915792,1.4846000911057216,0.9693054528365089
34005700306,-0.026918370744636957,0.674418603443523,0.8699186991869918,-0.10853266754762926,-5.846222824458806,1.8702194590714232,0.9868170374085087,-0.7251944955897798,-0.1915563282224678,2.188421601543816,1.2203458033198376,-1.0291433975582491
34005700307,-0.043939735005125984,1.4761904967722548,0.2781456953642384,0.15867629304188496,-9.54298029864302,4.093600292553282,0.3155224865539615,1.0602445963476128,-0.31268364569676294,4.790092020942642,0.3901904078696714,1.50462218448109
34005700401,0.052148696786342395,1.2130177402885227,6.214285714285714,-0.028654691653026244,11.3258303895988,3.3638001242894515,7.049351880713252,-0.19146516094315746,0.3711002041224498,3.9361224799392267,8.717570388067813,-0.2717134609341277
34005700402,0.04481031175380057,-0.09188033897306822,2.118811881188119,-0.10331556847332585,9.732055102123038,-0.2547919007217904,2.4035345663613183,-0.690334838888068,0.3188788380802092,-0.29814260392458,2.972327402145347,-0.9796731026871646
34005700403,0.009065400071024028,0.5088852964154299,3.0615384615384613,0.03361344369731334,1.9688542561079854,1.4111816888384003,3.47294329613919,0.22459859227555742,0.06451113880356364,1.6512824078359134,4.294810097463647,0.3187340220409205
34005700405,0.044990771002730655,1.629139058730108,4.625,0.040919276921831574,9.771247852307962,4.517739507204294,5.246500393979116,0.273414770481004,0.3201630209695365,5.286394962772238,6.488076811809091,0.3880103993434046
34005700407,-0.31878098442742414,1.478098395543388,1.1191469403128271,0.0475211107477743,-69.23393264929895,4.098891056167294,1.2695361866533557,0.31752695955321164,-2.2685070899481223,4.796282963575286,1.569970013502864,0.45061121665736253
34005700408,-0.3369422161429689,0.09460055925180773,4.093151052137779,-0.13742730615481774,-73.1782503935984,0.2623353001361652,4.643182401655544,-0.9182629361198471,-2.397745924513186,0.30696944943055454,5.741984525104239,-1.3031321165250047
34005700501,0.09897132793269867,-0.1402439010907581,2.9292035398230087,0.044174384353519724,21.49492782517005,-0.3889081224877394,3.3228254109678783,0.2951647748377816,0.7042990958829374,-0.4550775750620153,4.10916704082049,0.41887642703220646
34005700502,0.36379875632912606,1.2698872023112406,0.6713091922005574,0.08987085559432494,79.01104464819082,3.52150392124694,0.7615186900242219,0.6004998427072388,2.5888622545326907,4.12065825419462,0.9417309412909682,0.8521857958316685
34005700503,0.48737407269358557,-0.4092874443392555,0.025,0.04811158179531427,105.84954991744294,-1.1349884757753252,0.028359461589076304,0.32147237399069617,3.4682480868428387,-1.328097237916267,0.035070685469238326,0.4562102624908061
34005700504,0.16565394199476088,-0.560166355165634,0.6691729323308271,0.04832051361678805,35.9772835376485,-1.553388373924969,0.7590953628354259,0.3228684164017963,1.1788254640343028,-1.8176843667172002,0.9387341373720935,0.4581914245636464
34005700505,-0.04057801413035266,1.8289473785325994,5.791813322904442,1.7662942370756867,-8.812870386196886,5.071824768006681,6.570108298480356,11.802039766111111,-0.2887609902957596,5.934753179748032,8.12491453376503,16.748598309664732
34005700602,-0.10544995596885352,3.956140377375022,5.219387755102041,1.030878870715504,-22.90197817957136,10.97070970285671,5.920761062372461,6.888135153727932,-0.750402264989939,12.83728387144382,7.3219002520471035,9.775141507634853
34005700603,0.1042865961710614,0.4505489446830061,0.5488095238095239,0.22646712189237836,22.6493157629849,1.249410083452443,0.622557704407818,1.5132099296862802,0.7421235718483382,1.461986721692841,0.769885047681851,2.147437711850946
34005700605,-0.09407755400642952,0.36426113538487476,1.0328767123287672,-0.11492089556133167,-20.43208144799114,1.0101267374622354,1.1716730979815635,-0.7678794115398679,-0.6694740548966164,1.1819913229097212,1.448947772263326,-1.0897187324408395
34005700701,-0.06316893824331436,0.7812499956453394,7.962962962962963,0.02046599246746121,-13.71924371122907,2.1664718867407906,9.033013691335414,0.136749841495156,-0.4495223720035854,2.5350788930594,11.170662779090726,0.1940654505070685
