GEOID,li_d,moe_li_d,cv_li_d,cat_li_d,z_1dir,z_1dir_sig
42091204600,0.0480684811237928,0.018872364881701967,0.23867120345598025,Medium,-3.3660037610266613,No
42091205300,0.3665564478034955,0.10801673130788648,0.17913657457681484,Medium,0.7711737268635707,No
42091205809,0.08602915037326697,0.03433857924462188,0.24264468691783606,Medium,-2.4439891193623584,No
42091206004,0.1625418060200669,0.07255085753699445,0.27133859186162507,Medium,-1.5793243841268636,No
42091208301,0.08188976377952756,0.042738254759173,0.3172643415019272,Medium,-3.634995718996565,No
42091208601,0.12218902343135714,0.0498546666246067,0.2480320029619603,Medium,-1.7742721135977988,No
42091206106,0.15247364152473641,0.07328891205520294,0.2921982427862162,Medium,-0.09369594664739712,No
42091206600,0.27988338192419826,0.07458754456704862,0.16200308882027403,Medium,0.5252177912300832,No
42091206905,0.12006414111044297,0.04342374045105562,0.21986090405013067,Medium,-2.8281151461932197,No
42091207201,0.17580577647551276,0.048954906312736385,0.16927669877135218,Medium,0.20726634347244716,No
42101031402,0.5933825999328183,0.08075778547719117,0.08273393711763188,High,3.5642221481978797,Yes
42101016701,0.6466854724964739,0.11004860398394326,0.10344881747288238,High,6.510914570618112,Yes
42101016702,0.7040121120363361,0.11362846180683073,0.09811628463367218,High,7.052676408620389,Yes
42101027901,0.5032634032634032,0.10354715469408216,0.12507684482926845,Medium,3.5258444190795233,Yes
42101027902,0.591367486889875,0.10400778312082377,0.1069159486792928,High,7.3016215765527885,Yes
42101008101,0.6310679611650486,0.16649471950231276,0.16038303585446073,Medium,4.278312327844738,Yes
42029311403,0.10158910329171396,0.04161981473358565,0.24905032538275088,Medium,-0.8877054293491925,No
42029303902,0.059623625861747714,0.03411573482165093,0.34783272946010746,Medium,-3.2464382029883567,No
42029304406,0.08667687595712098,0.03967770842040813,0.2782770747476184,Medium,-1.3142370752606776,No
42029302706,0.21878381302748323,0.05982911695399983,0.16623845868361892,Medium,0.010240686519924241,No
42029302705,0.14557131388814556,0.05346673607508275,0.22327596181899723,Medium,-2.0544680367330495,No
42029303501,0.07216981132075471,0.03838063929058765,0.3232888543061598,Medium,-4.85148693705891,No
42029303502,0.033504273504273506,0.02594150629955189,0.47068361718373103,Low,-2.749659145032873,No
42029303302,0.06668021955682049,0.03706951848025782,0.3379512221150349,Medium,-2.366896506775378,No
42029303301,0.24593892137751786,0.0953084886997289,0.23557999961274553,Medium,1.116830275146007,No
42029306503,0.32488560366068286,0.10125265541120575,0.18945673650626213,Medium,0.42416101923949145,No
42029306504,0.21646156949768006,0.10466441356627498,0.2939357017072974,Medium,-0.5760293943789332,No
42029306501,0.07081295131609597,0.049407860506786985,0.42414802662701273,Low,-1.6352043736464386,No
42029308101,0.10676156583629894,0.05460563022463703,0.31092567564585627,Medium,-0.5885329775477691,No
42029304502,0.023369036027263874,0.01485217504120657,0.38635217242449715,Medium,-3.2273029885131908,No
42029304405,0.07638128032555956,0.038110376595630255,0.303312566731628,Medium,-0.7136715989863501,No
42029311401,0.25160480044655315,0.06150021561792838,0.1485907631549831,Medium,0.34967195142271973,No
42029304501,0.027972860373765028,0.016055710878151157,0.3489207193619553,Medium,-4.80256798332197,No
42101036900,0.5840757238307349,0.11909527295444004,0.1239536917348839,Medium,3.428715054786156,Yes
42101037300,0.13850017940437748,0.05475818704466071,0.240343744261098,Medium,-1.8987558321264366,No
42101037200,0.3493362831858407,0.08900822612999768,0.15488899022604413,Medium,0.6551661953861425,No
42101038300,0.8042239356352665,0.08826235067876292,0.0667163983155975,High,7.039942760802137,Yes
42101039000,0.6276321443919209,0.09813015436841585,0.09504546542864996,High,5.438598581913551,Yes
42101037800,0.34686907020872865,0.09594529571686404,0.16814819405927167,Medium,-0.43726800944965116,No
42101037700,0.8132446661124966,0.07983992732387679,0.05968057615340924,High,8.652393673137267,Yes
42017102401,0.1526797385620915,0.04541664666067059,0.18082886442630744,Medium,-0.10311741171566546,No
42029300501,0.02917657229306246,0.0168039837743618,0.35011610007417326,Medium,-3.6099950351392627,No
42029300502,0.19443639524775427,0.08713865795979502,0.27243782461349486,Medium,0.06029499361978088,No
42029305102,0.13553267493170834,0.05947502356895933,0.26676245815572436,Medium,-1.7608924673758568,No
42029305101,0.18050373134328357,0.06863112221267033,0.23113675616183282,Medium,-1.3338860602372424,No
42029311404,0.28872497365648053,0.07917740881711863,0.16670592365151102,Medium,-0.5557558326463361,No
42091208801,0.4554819720382634,0.06627103362894829,0.0884477215449379,High,3.918544550276827,Yes
42091208903,0.38003502626970226,0.12197904711528482,0.19511726892784342,Medium,3.116632887585525,Yes
42091209201,0.16216216216216217,0.07505827839479043,0.28137348537054163,Medium,0.6709005819391087,No
42091210200,0.030814380044020543,0.018643583530614877,0.3677985866583887,Medium,-4.054784080983704,No
42091200506,0.07869955156950673,0.05034040018771669,0.38884677705421145,Medium,0.13564429037038722,No
42091201605,0.09446254071661238,0.048503933045025927,0.3121414410402046,Medium,0.9091672085775191,No
42091201606,0.3240223463687151,0.11319300508411526,0.2123629379525902,Medium,1.0042244942655683,No
42091200306,0.15718868474773987,0.0664642442198612,0.2570401040200575,Medium,1.2454575580484257,No
42091200605,0.13172086942310834,0.044985764373030174,0.20761303310171558,Medium,-2.3174962090281213,No
42091200704,0.21850828729281768,0.07026147972098924,0.1954715139467805,Medium,0.09594956397406554,No
42091200906,0.2039122703023118,0.08762736454014387,0.2612344737032988,Medium,1.6853804068525498,Yes
42091201006,0.07194244604316546,0.03390484059037381,0.2864907502773228,Medium,-0.9947427339023993,No
42091201406,0.0595290013083297,0.032374537584763455,0.3306047393338125,Medium,-2.939035487629062,No
42091203103,0.07965482907401261,0.04750537529391271,0.36254735501661345,Medium,-2.2237641782579645,No
42091203106,0.11223996129656506,0.04249176277348612,0.23013959137615506,Medium,-1.1759864645220521,No
42017101805,0.07521919704660822,0.04277867295903594,0.3457265344033076,Medium,-0.2862936859542863,No
42017106402,0.15656633823727897,0.060013474680051394,0.23301532014699758,Medium,-1.2513492844624239,No
42017105012,0.08586883029073698,0.03017627663711292,0.21363096544666496,Medium,-2.855356519571833,No
42017104304,0.03051643192488263,0.025725928864852102,0.5124734952736496,Low,-6.980729107911178,No
42017104303,0.08652422255130103,0.03816698996397996,0.26815401425336205,Medium,-3.291400217355617,No
