GEOID,hous,li,nw,tot199,totnw,univ
42101027600,12.982937369656863,-37.509134849104996,-302.8845006447493,-113.61446063128622,-419.6425245843401,-35.97473553948021
42101027700,31.625525136740816,-22.460750110624268,-309.22062245433284,-89.75032773161071,-417.7888403064101,-27.541126375951826
42101027800,27.39555723142954,-41.22322900458559,-310.0013270157221,-111.26857128005045,-421.09763577585153,-31.31731961002376
42101027901,43.15742233752111,-62.93139028486826,-311.2592862495704,-93.22888611177385,-412.4972783575824,7.78157079675735
42101027902,38.15049451098845,-46.35109432818909,-321.217037071247,-137.93468550239265,-399.9038447840866,-51.24753816052632
42101028000,31.410235011825446,-19.29761490286655,-310.3091110764139,-107.39235116631227,-432.9895093851124,-42.38006580299269
42101028100,26.423831327464402,-39.715655405218314,-307.7817875316104,-91.30053744879787,-404.35035562769866,-15.502837093051248
42101028200,24.51702515426663,-36.992739390886726,-284.0049676627773,-101.79958137466551,-402.12989657721175,-26.53636068464336
42101028300,14.71662647675566,-48.75917038683282,-308.79360255874417,-138.05682640040146,-437.6843567042803,-49.86572626858261
42101028400,36.53363718076943,-42.98886680472805,-305.7514344897801,-126.06171254065538,-430.016139537791,-42.87280614705922
42101028500,22.03275144264857,-2.0859166414765085,-285.3803377688563,-22.598005975202028,-355.74970597135746,3.675471944190555
42101028600,2.360753874849294,-27.22735829497487,-273.42426575782986,-90.04307203959578,-380.19432953425945,-24.430140085339136
42101028700,2.5223625310080173,-10.221303642285456,-287.8261466417662,-72.75370318459481,-388.21326872439386,-23.58827925014099
42101028800,-4.03039596259725,-32.22436461629519,-227.9896334240064,-72.45624883993486,-312.1891899803932,-6.6474116139873445
42101028901,-0.603220804103703,-4.262308159513829,-114.17555129113435,-19.780895998989592,-128.49866244124416,7.2500562640990225
42101028902,-0.023877893512363357,-9.813485436599827,-155.96141741219063,-20.26618648151897,-181.14863681667035,11.655121645486435
42101029000,-19.393100998610883,39.274814503740735,-173.93971572660155,44.00141848684477,-201.2826827377266,11.772050252679705
42101029100,-21.95306119034487,11.59934227224992,-155.75865009235142,-21.521660466142663,-228.3391989418525,-5.592141023240481
42101029200,-6.57493316806254,-12.219655922948974,-138.37581920085927,-42.086836501260706,-187.00233684195717,-1.1915435047969147
42101029300,-4.448572535442775,7.588655330900387,568.2663836932172,-64.70379970388194,375.4364751042042,-28.978946364406703
