GEOID,hous_b,li_b,nw_b,tot199_b,totnw_b,univ_b
34005700102,81.76214131355954,0.13442028985507246,-0.020289855072463767,371,-56,2760
34005700103,73.40329696964751,0.10925705204608661,0.1828131333603567,275,451,2517
34005700104,72.06869157019938,0.2645234066553864,0.3803648068669528,469,709,1773
34005700200,107.89231018696516,0.09965896172792725,0.022109459949256977,263,61,2639
34005700303,110.70200576475071,0.1460101867572156,0.31812525922853585,344,767,2356
34005700304,100.44661690583345,0.10197934595524957,-0.014225941422594143,237,-34,2324
34005700305,119.33740972648823,0.07739111406032784,0.10650347835957662,379.62375891953707,525.420000000001,4905.262879241258
34005700306,102.48364619972797,0.06465350367789392,-0.012585812356979404,167,-33,2583
34005700307,120.4656978975555,0.04121475054229935,0.016328331862312445,95,37,2305
34005700401,82.88601954467376,0.09176587301587301,0.016089712335446125,185,33,2016
34005700402,73.12232741186897,0.15773897602841078,0.011297798377752027,533,39,3379
34005700403,75.93202298965451,0.18423621278672522,-0.018361581920903956,755,-78,4098
34005700405,73.82475130631535,0.14838337182448036,-0.01263641585295807,257,-22,1732
34005700407,33.709537532860274,0.18253020546374255,0.2579054216798375,948.0843469500542,1349.1599999999994,5194.123189508915
34005700408,15.183238698490486,0.18252640746991744,0.20240510735115577,426.9204916313356,476.8299999999997,2338.952043499583
34005700501,124.25878692756599,0.10952292556153703,0.07313903842583999,590,394,5387
34005700502,101.36417522510718,0.11974270208459216,-0.0038673226869031423,238.37623476982117,-7.419999999999845,1990.7370680570602
34005700503,219.55674200328957,0.09765928710277329,0.2647675723135457,353.13846310949884,977.04,3616.0254040991713
34005700504,139.4521111587635,0.1350327248284985,0.0901485271535163,391.8615388870239,282.96000000000004,2901.974610686302
34005700505,301.6910626647235,0.017849643007139857,0.5656725025746653,85,2746.34,4762
34005700602,102.34316142083868,0.08349988896291362,0.3900221729490022,376,1759,4503
34005700603,92.79659979554924,0.21575908546831207,0.3363784665579119,1320.0659544534137,2062,6118.240404978984
34005700605,109.71861231252576,0.06004901960784314,-0.012663398692810458,294,-62,4896
34005700701,74.66765997965102,0.2120427322758174,0.01761127121357669,655,55,3089
34005700702,69.82093510797095,0.1812366737739872,0.09896729776247848,425,230,2345
34005700703,64.26538491296752,0.27434727429287725,0.03206168831168831,661.9340652227402,79,2412.7596667408943
34005700800,78.39050662021687,0.18964982956306167,-3.0892801977139327e-4,612,-1,3227
34005700900,66.23857324629437,0.28936332443766677,0.21495678316422398,759,572,2623
34005701001,78.10953706243832,0.2121292372881356,0.03045550847457627,801,115,3776
34005701002,86.22220221429768,0.1287251035791469,0.2829403673871246,527.6722926325165,1158.1399999999999,4099.21824038215
34005701102,109.46434430537262,0.1015165708258127,0.6975173622931845,424.6790460930206,3278.2200000000003,4183.347040451365
34005701103,114.14388284753801,0.12752721617418353,0.7276654570589252,738,4211,5787
34005701104,99.89841871538103,0.23820961339465263,0.29935518526686766,1087.3268557190895,1370.9299999999998,4564.580200910568
34005701105,102.52997666742502,0.13592546088520238,0.4502649056040594,663.937430119724,2353.26,4884.570255922037
34005701201,78.6012337885508,0.16350067842605157,0.22150610583446403,482,653,2948
34005701203,69.32923838185847,0.20385232744783308,0.12924071082390953,381,240,1869
34005701204,51.6281562418095,0.4069498069498069,0.45845921450151056,1054,1214,2590
34005701205,68.20536015074424,0.2275109170305677,0.14410862899693386,521,329,2290
34005701301,82.95626193411839,0.19323241317898487,0.09780991735537181,868,449.72999999999956,4492
34005701302,63.14790811073026,0.14573055028462997,0.012737366003062781,384,33.26999999999998,2635
34005701303,97.0785817786147,0.10747745803986185,0.27262443438914025,378.0080577129738,964,3517.0915334919337
34005701401,135.3828297211181,0.08802424416404071,0.2876171361535526,303.0148463161604,1017.46,3442.4021804559743
34005701402,97.6369213280479,0.10679611650485436,0.20991629104958145,176,326,1648
34005701502,90.82340955191795,0.12377750611246943,0.10207823960880195,405,334,3272
34005701700,77.40711316799194,0.1947689182326054,0.09221466364323508,767,366,3938
34005702101,54.310852560117226,0.5173089707394559,-0.1715589501278358,1440.866005897522,-530.0999999999999,2785.310423016548
34005702203,78.8119609568847,0.15339918651946544,0.49949313917670124,528,1783.69,3442
34005702204,67.30961952758392,0.40046168321363734,0.24505435663652045,709.4929638446483,498.84000000000015,1771.6875377803663
34005702206,60.5482648186447,0.2077051992312773,0.15105560195109496,371.99585366249084,283.98,1790.9800373911858
34005702207,64.527692591595,0.2659451598034238,0.28961480402402584,1031.5031959076878,1097.4199999999996,3878.631170550012
34005702208,70.96294183634542,0.14087681434093047,0.16094196083232704,1005.2563495416034,1156.7800000000007,7135.711811354899
34005702209,25.467417128586597,0.22949808575572525,0.3008907284768212,697.0382984280586,908.69,3037.2292111516
34005702210,42.423999246682484,0.22949807997563954,0.35232361211919294,1161.1366829276085,1776.62,5059.461236894131
34005702300,80.03471034705585,0.22591238391197008,0.13538313193051207,275.78860059473664,174.0999999999999,1220.7768151573837
34005702400,129.87996088005488,0.0726865048082709,0.15064708222481912,233.52608799096197,484.71000000000004,3212.7847196243238
34005702500,100.49337950151622,0.1271610944910805,0.3183923767250112,786.8161641955376,1974.0200000000004,6187.554307758808
34005702601,76.1591043235534,0.12665263460786916,0.18964017256687646,565.1285843175247,847.9400000000005,4462.035756824236
34005702603,59.07384952294121,0.4031391986782321,0.17619276218611526,976,477.1300000000001,2421
34005702700,89.38657986171025,0.1021367459606469,0.34776600581021444,730.6742176764933,2509.09,7153.882126868859
34005702801,75.18325265937273,0.08614201330538132,0.5880943388854885,195.06246073637158,1354.7400000000002,2264.4289574283175
34005702802,67.50293625629786,0.1951827242524917,0.6472229974881384,705,2319,3612
34005702803,73.82846341761388,0.08984075416057642,0.5603589826537464,359.0303466451005,2286.5,3996.297114827612
34005702804,69.25899599241383,0.17586912065439672,0.5517826825127334,516,1625,2934
34005702805,65.95760368851582,0.19052344331431406,0.6117705242334323,768,2474,4031
34005702806,63.28839288961953,0.204471238382316,0.5863095238095238,814,2364,3981
34005702807,61.27307380749555,0.15770921350777348,0.49418202266632055,429.0008419957012,1370.9399999999998,2720.2015181854367
34005702808,62.44548421628387,0.16098539100544257,0.6428978893325727,562,2254,3491
34005702809,54.50809420903968,0.11847133757961784,0.4668918918918919,186,691,1570
34005702810,99.67395062194242,0.11739441660701504,0.5368281353682813,164,809,1397
34005702811,91.0400220490036,0.09843870049897899,0.6839308755092277,271.0481127769526,1887.02,2753.47105765342
