GEOID,hous,li,nw,tot199,totnw,univ
34007608404,1.288079738637176,11.187356296093348,-108.15082702633029,52.438555169882534,-25.415074953066778,29.921697938974326
34007608503,-30.004859900036625,58.46525511732531,-115.75561794064208,122.60348256079222,-143.82480252471868,30.555602137024906
34007608504,-24.687863728323386,95.95664185162579,275.11413422876444,277.62496973075264,455.91058286753776,72.99915960791336
34007608600,-23.8599144875475,-0.8469142256978799,64.2866239596672,-44.928568007796166,2.2104139647949808,-27.452430695952827
34007608700,-5.7127201630009985,-50.184432159173106,167.69305247917546,-49.254099809890576,326.3341067163277,16.28648064169907
34007608800,-14.468398110802339,-15.211296509899846,-199.9540198555577,-42.934245255268394,-214.4119677982129,-15.679766424889912
34007608901,-11.645535488943136,-17.220398971884872,-109.20762676733577,-34.55503982561095,-110.55303481928752,-7.215149903304406
34007608903,-18.386687499006058,-83.15894153535339,-190.93591279527723,-117.2456998682099,-222.4181303089259,-26.70303930994765
34007608904,-5.023111723743481,50.529678865035976,-100.28439451397176,11.724590623350196,-124.3573826453745,-21.54764587450159
34007609000,0.9413179253420729,-33.98730589186217,-237.75461737125175,-52.06070881955731,-244.15546714837927,-6.549845417195362
34007609103,-20.048151883254583,-37.81031034122473,-207.35854753657344,-26.39825333234824,-188.44526382153924,22.65612899022831
34007609201,-21.485254135494074,-36.35393949246305,71.16993840136266,323.2077058905187,142.6077314972923,358.077193470791
34007609202,-26.836841354002836,-37.15764913607803,-140.22102165602826,453.46318110744784,-119.25461583546334,488.45949447016943
34007609203,9.651253162205983,-44.69841353000337,-136.52636422673925,67.9140075474039,509.70613526993486,131.64817562514975
34007609204,-48.94591930029064,78.07132481492545,-177.02681188470706,1186.4193142553881,-191.9837186568359,505.26408533368317
34007609205,7.164654481052555,-78.94764277523188,-143.1901238966973,-139.3496552118819,-113.15545956845139,-69.06834111049625
34007610300,84.95703311534825,-71.29296076956963,-228.32767506687085,-90.95060894233796,-242.67728453745576,-3.8176786315437266
34007610400,77.31581508693384,-39.17864202421223,-244.23358932583758,-81.5944586861423,-267.7474884556585,-30.220568303851188
34007610500,-13.781664399738444,-18.627177559090008,-25.653820132209916,-27.36007153637611,11.587257073430436,-0.027200397582669567
34007610600,NA,61.302166134660126,246.6108178913972,23.37240209962198,147.322945223478,-20.80661697227457
34007610800,-28.903365457930658,102.89485997031582,-110.32108906085007,89.78300029461987,-119.99297586571353,-9.735544550008655
34007610900,27.413224765341077,-48.0282630355607,-59.13259767257068,-79.09380743750904,-84.61600333502966,-19.262295270341436
34007611000,-20.30499934533299,-15.129833231101657,1974.7175376975488,-56.95258409002773,1753.193122405131,-26.973095647025026
34007611100,-15.762446423130518,169.91887122805312,420.17587029431695,156.78179298404126,443.6335031876928,-11.061134459434852
34007611200,-18.709636204910105,-8.431471237184272,-52.93021131755597,-56.07528095865648,-108.94399681860284,-30.83052739518638
34007611300,-14.696081421398418,72.38764650983401,-161.63196615697086,211.41843129853896,-199.84012947615676,62.78011883246327
34007611400,-17.684992839695717,-20.569825119242825,-138.02123026444818,-84.03145162016514,-151.11480838794876,-45.60208696040731
34007611500,-12.703165830183336,-44.58991963917209,-203.08029352463905,-97.74112164535862,-252.80150894161346,-42.29107013866006
34007611600,21.26963287597605,-34.011742251904785,-96.99588880773464,-77.06636182054265,-163.07757899881068,-30.12158359891795
34007611700,-9.522336611756309,-41.47994516083786,279.18291033392893,-64.67578956048999,351.82241076973503,-11.044516222533055
34015500100,-5.469640733503664,23.288723658447758,256.80747186717895,-13.466766352452478,134.4405468865827,-44.285538482772814
34015500201,-1.2056027930865945,28.83931466715024,97.61888910644086,-22.459433911605867,-40.99856665346013,-54.136019141928976
34015500202,-1.8465372552430246,-6.759575733577774,156.43243584953404,-47.56480196638518,13.639690809890823,-50.21740303886589
34015500203,-13.52387654279053,60.74716314386551,-70.25488596206927,26.714451300449014,-161.12528868101256,-41.068331522631254
34015500204,-12.835811608715863,-35.02966208209963,68.17254522559975,-10.32261228032782,175.6578415825735,27.421382129184224
34015500205,15.09781680448424,-4.891539360669732,-151.55246928804627,11.564713048144661,-207.09086035657447,2.296742574394372
34015500300,-5.614946391879178,-15.20829270771866,278.4065311340838,-53.32250536043892,132.25036126158994,-48.67231785134976
34015500400,-17.089301396028553,-13.718102037429167,-137.4162868044797,-48.76017227339223,-230.21242356552202,-45.44158483967232
34015500500,-11.066695276431505,13.938273650712468,-85.88520672772498,-20.29074955842003,-176.80597046060336,-42.88367361690627
34015500600,14.172223342461358,-38.10880713638079,118.91802104224536,14.186670640567236,373.6274906516232,66.15391089268908
34015500701,-7.100602670535846,-3.762956793069508,9.47728000253423,55.746316782605845,112.91148348498189,40.807936315309114
34015500702,26.893779517980374,-37.999027081131956,85.2831034494352,-31.091867842342673,133.59286839365905,6.613354467720235
34015500703,12.541369004776111,22.08430003349988,64.2785386070486,-20.954658182175322,-47.854562063672404,-48.957296725395224
34015500800,-1.2667909282723633,44.29183908885483,84.27083339256063,8.848198424861465,-18.489482698593008,-42.42996229550117
34015500900,-11.359366234060126,27.324229331369267,60.06048279220772,-15.263616850715426,-57.0890969991419,-48.17888418250641
34015501001,-12.58248258423075,-41.150174925035756,-27.515402576012264,-70.90165178212713,-124.95587238645922,-41.564903529296885
34015501002,1.2477291984796146,-3.0027269236479803,-69.76946717397158,-31.74310081044494,-170.05947158201474,-38.92659067684675
34015501003,-18.79764636473559,19.272155290454037,91.9899025914846,-17.58914564956883,-17.55791082389169,-44.598295853299895
34015501101,-15.170793940348043,73.67817349315715,-27.264128770968625,60.53997300555996,-91.92073836886611,-29.64659791570245
34015501102,27.89852934417419,7.485136388721688,145.08792661540417,193.38073612320096,706.9432226649701,137.35045518397928
34015501103,22.24865307066795,-5.15350475938911,167.61673688170777,12.486029862610977,241.8265413905467,3.472723836117922
34015501104,-1.4825508528830742,21.78593511803996,154.41102671901626,-14.967260426472432,48.30944265026392,-44.36964613576464
34015501105,-10.181564824440839,-30.379776043766512,-18.498144801893503,-40.83346063328065,-67.08533129444163,-17.954273352382494
34015501106,10.482273203784679,-30.501434655885973,-134.92437689905327,-25.342163350286285,-186.2981758198411,0.6776814848181658
34015501107,-8.481225345194535,11.931112252728138,-9.095099138590072,-33.64360211111197,-129.4497096284017,-51.96447702639291
