GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d,rc_hous,rc_li,rc_nw,rc_pop,rr_hous,rr_li,rr_nw,rr_pop
34005700102,192,0.25082995204721503,0.1665443873807777,680,454,2711,-2.2992295244075127e-4,7.726791740058984,14.032822625615998,-1.6522414034626606e-5,-2.2136117909754061e-4,5.0630820941123185,12.168840838946926,-1.5629396750578987e-5
34005700103,159.7,0.22871946706143598,0.25684678016284235,618,694,2702,-3.197086825743043e-4,8.284672860322846,5.330971761089629,4.976533405528453e-5,-3.078035063098205e-4,5.4286410486791095,4.622858038496202,4.7075575563296885e-5
34005700104,163.7,0.3094218415417559,0.6102783725910065,578,1140,1868,1.2379870038171573e-4,1.1246885857168196,1.6287834761158713,-3.5505365520565286e-6,1.1918873690655796e-4,0.7369670144302177,1.4124319397994738,-3.358634176169785e-6
34005700200,283.6,0.1493604213694507,0.10293040293040293,397,281,2658,5.67182295405448e-5,7.191921739551389,7.95248507709053,-1.5476014226728236e-6,5.4606180175314615e-5,4.712601478955065,6.896155375082084,-1.463955363666728e-6
34005700303,250.9,0.19450072358900145,0.25846153846153846,672,924,3455,7.626624165922786e-5,9.545233827849852,1.8135109453781815,1.5202395745106303e-4,7.342627171323866e-5,6.254640231513843,1.572622033553747,1.4380723916107208e-4
34005700304,226,0.2595419847328244,0.118562874251497,646,297,2489,-1.398268713662861e-4,18.635874378107363,6.482336996245414,5.3022301226610605e-6,-1.346200576609997e-4,12.211402228268373,5.621287268872969,5.015650744271741e-6
34005700305,278.3,0.10153846153846154,0.1221710778672804,528,637,5200,-8.649080039330564e-5,1.4333361492396626,3.176644809296646,2.6439035987402866e-5,-8.327009266761138e-5,0.9392123970981827,2.754690636197001,2.5010036807208834e-5
34005700306,254.5,0.05766920304365238,0.09188973232121454,144,230,2497,-1.1062454352882961e-4,3.6699670700133598,2.611211722865809,-2.807119184630234e-5,-1.065051537165661e-4,2.4047942772720114,2.2643641055037973,-2.6553976538053276e-5
34005700307,298.3,0.07616257781032588,0.07067008421823508,208,193,2731,-1.8057605245994448e-4,8.032949394573626,0.8349025041978565,4.1040479001256594e-5,-1.7385183803958484e-4,5.263695931096188,0.7240022881124353,3.8822288789045034e-5
34005700401,197.6,0.187,0.101,374,202,2000,2.143118479323952e-4,6.600848700600372,18.65325543817558,-7.411329370815859e-6,2.0633139427483953e-4,4.325293082339396,16.17554091655283,-7.010755628259969e-6
34005700402,182.5,0.14031033344338065,0.09990485252140818,425,315,3029,1.8415380076954922e-4,-0.4999829730246506,6.359981027970188,-2.6721826790553864e-5,1.7729635967572913e-4,-0.3276204307355676,5.515183860930041,-2.5277543095975048e-5
34005700403,180.8,0.2109304426377597,0.11440953412784399,934,528,4428,3.7255439947570204e-5,2.769188558445528,9.189738222945564,8.693874830157309e-6,3.58681376828479e-5,1.814547289115783,7.969064013000208,8.223980995490884e-6
34005700405,184.1,0.21378567582121702,0.12116316639741519,397,225,1857,1.8489542150981723e-4,8.865245809478534,13.882738961170906,1.0583475912269666e-5,1.780103642575519e-4,5.809069123109611,12.038692808583859,1.0011451334314458e-5
34005700407,112.6,0.3764308500656784,0.5595796584725089,2006,2982,5329,-0.0013100718918874655,8.043331560230424,3.35931347709321,1.2290992626388193e-5,-0.0012612879906606315,5.270498981935843,2.913095399371386,1.162667875370206e-5
34005700408,109.6,0.20192307692307693,0.5740181268882175,399,1140,1976,-0.0013847078342895038,0.5147855285816646,12.286302180642343,-3.554458176658611e-5,-0.0013331446715086593,0.3373200002993836,10.654310948285088,-3.362343841517979e-5
34005700501,349.9,0.07814520598559024,0.1628162816281628,423,888,5413,4.06735536814695e-4,-0.7631617754097052,8.792512023243377,1.1425385977321214e-5,3.9158969147881493e-4,-0.5000718085820116,7.6246014248098675,1.0807857138419086e-5
34005700502,357.2,0.19782214156079855,0.07510058113544926,436,168,2204,0.001495078277101286,6.910313848576866,2.0150508708226695,2.324444875246905e-5,0.0014394051866028607,4.528074197992921,1.7473913825905059,2.198811330108698e-5
34005700503,570.1,0.06280193236714976,0.2200751476113795,234,820,3726,0.002002927102497699,-2.2272093848324275,0.07504183222254544,1.2443713705024795e-5,0.0019283429529270814,-1.4594082946123113,0.06507401518153437,1.1771145435458457e-5
34005700504,396.5,0.05728257073000349,0.07266775777414075,164,222,2863,6.807764069663346e-4,-3.048243430253241,2.0086385166335474,1.2497752414068907e-5,6.554259439874239e-4,-1.9974016706308795,1.7418307823027244,1.1822263415056928e-5
34005700505,673.4,0.03618310333221138,0.2563976377952756,215,1563,5942,-1.6676062355560676e-4,9.952537812169039,17.385131345667943,4.5683926790255025e-4,-1.605508622146919e-4,6.521531533783022,15.075861924131868,4.321476361946381e-4
34005700602,234.8,0.18880534670008353,0.20367585630743526,1130,1219,5985,-4.333603008463554e-4,21.528031455811398,15.666896808911018,2.66629386377655e-4,-4.1722301384475345e-4,14.106526259833345,13.585860720552992,2.522183777943298e-4
34005700603,235.4,0.19068219633943428,0.21500578416790614,1146,1301,6010,4.2857932253933113e-4,2.4517410729379003,1.647346888313974,5.8574088052622944e-5,4.1262006757928493e-4,1.6065356416215308,1.4285295713660642,5.5408226640440893e-5
34005700605,264.3,0.08450404427415922,0.1575037147102526,397,742,4698,-3.8662393675306526e-4,1.9821908306242575,3.1003584381259874,-2.9723460957368524e-5,-3.722269986466248e-4,1.2988566586590427,2.68853739434942,-2.8116942423150918e-5
34005700701,171.9,0.21104597346497994,0.2972060178077986,684,968,3241,-2.596009626533482e-4,4.251308820407677,23.9022132264404,5.293381374109895e-6,-2.4993405215866844e-4,2.7857261188436735,20.72727890967391,5.0072802602999414e-6
34005700702,164.6,0.20803212851405622,0.29846032372680614,518,756,2490,1.5573561795754317e-5,-0.07255564921896963,12.228293197069823,2.925195719954488e-5,1.499364010970128e-5,-0.04754304512735001,10.604007306091642,2.7670922895679296e-5
34005700703,160.8,0.4561725562184488,0.3230839834786599,994,704,2179,1.8572613438555115e-4,6.343867713657163,9.428785507491591,-3.7260701190550283e-5,1.7881014339970325e-4,4.156902904722218,8.176358613397495,-3.524680357793988e-5
34005700800,230.9,0.13966480446927373,0.24095047745947146,625,1085,4475,0.0010146607585354585,2.066154871226046,38.75237181954014,9.040017886880527e-5,9.768772517449852e-4,1.3538752025543372,33.604888865541085,8.551415422121725e-5
34005700900,146.6,0.4011904761904762,0.41785714285714287,1011,1053,2520,-6.040048889800111e-4,0.7973025370722053,0.5738493052312298,-4.786495571144352e-5,-5.815132112125617e-4,0.5224429924922228,0.49762482197643926,-4.527791046122086e-5
