GEOID,hous_a,li_a,nw_a,tot199_a,totnw_a,univ_a
34005700102,57.77680740008037,0.09703038605605167,0.027624309392265192,280.99999801832564,80,2895.9999795767653
34005700103,49.19556669752848,0.10812003671107943,0.11032656663724624,245.000003187306,250,2266.000029479328
34005700104,45.14479390127777,0.25290390901813836,0.3901795142555438,479.000003680354,739,1894.000014552381
34005700200,79.46976073688833,0.06394914001216961,0.02774774774774775,171.00000039254155,77,2674.00000613834
34005700303,136.0206760569855,0.1121323524247561,0.2594594594594595,243.99999887626927,576,2175.9999899785325
34005700304,66.46464885328882,0.059860598623407785,0.03733121525019857,146.0000000424916,94,2439.0000007098424
34005700305,81.91642629382284,0.08858474303462692,0.06560365623582373,417.91996738700504,309.47999999999956,4717.74201292001
34005700306,74.29969570276066,0.030703320264914572,0.04427645788336933,86.00000006202572,123,2801.0000020201633
34005700307,88.63729758791781,0.035638523250658784,0.0634453781512605,83.99999930180275,151,2356.9999804089175
34005700401,53.352938106826706,0.08207867938542865,0.013685239491691105,169.0000008545976,28,2059.0000104119317
34005700402,49.62196300425293,0.1385435164303537,0.028742174160500854,467.9999985017348,101,3377.9999891855987
34005700403,50.90115456266001,0.1444911300202155,0.02917414721723519,619.0000010066033,130,4284.00000696654
34005700405,50.04836053744693,0.08464125605987566,0.022185246810870772,151.00000081081816,40,1784.0000095794676
34005700407,32.37758518671974,0.1591217061486703,0.26604439587614825,809.4916665163862,1407.1699999999996,5087.248309674529
34005700408,14.58227362000875,0.15912044811556222,0.10644277684252582,364.5165321975794,223.83000000000015,2290.8214160958123
34005700501,90.44948588157746,0.09490740725857397,0.04330331481126653,491.99999922844745,226,5183.999991870471
34005700502,73.2921194803501,0.09498295240783508,0.04960080529759495,192.08002915565885,100.51999999999998,2022.257947982398
34005700503,108.92529371173984,0.11143056325942476,0.22771651570959314,396.1317526732746,800,3554.965010135391
34005700504,96.59811103937162,0.136530018372002,0.04449857136165628,372.86824672487177,133,2731.0349867355217
34005700505,199.39394578913857,0.035381750339083855,0.09839703436392327,75.99999972835212,230.1300000000001,2147.999992322373
34005700602,74.5661934415022,0.07736681329521754,0.0665083135391924,227.99999878100607,196,2946.999984243969
34005700603,120.72803492806264,0.16122547639086413,0.17114914425427874,790.0457300669987,840,4900.2536576169005
34005700605,82.88093940398615,0.054822910142987194,0.06857035506293443,291.00000703897604,365,5308.000128394793
34005700701,52.127046285895034,0.12090680130314016,0.03400503778337532,384.00000093877316,108,3176.0000077644363
34005700702,46.5838835973283,0.23468931509885918,0.0664288898796255,524.999997876148,149,2236.9999909503676
34005700703,43.70134868758532,0.1802827958614763,0.06653620352250489,458.9542673490364,170,2545.7463282584895
34005700800,52.606742878313675,0.13661037388235717,0.023522316043425813,452.99999979389645,78,3315.999998491304
34005700900,48.48161808525306,0.2851637829866205,0.2973427514295325,881.8004927429455,884,3092.2598360377615
34005701001,57.40370872599764,0.19565216841146307,0.21353383458646616,890.9999749458028,994,4553.999871945214
34005701002,63.88771841194516,0.02902303095845967,0.2139997482733965,107.21247263113005,799.1199999999999,3694.0481005103316
34005701102,68.07863641260398,0.1048009207757956,0.19258249559834154,140.13754544037073,339.0799999999999,1337.1785832423002
34005701103,52.97984039961125,0.2017968211231417,0.4722036168787676,584.0000003303721,1410,2894.0000016371523
34005701104,68.46661529773237,0.1650889001256707,0.26483142592019804,710.3332018427781,1155.8700000000003,4302.731604449052
34005701105,66.60110787780685,0.1375090823002859,0.14107496793750732,439.65312674660686,471.9000000000001,3197.266193421565
34005701201,53.88593462442262,0.1919228034453301,0.17977126518942102,537.0000040400337,503,2798.000021050306
34005701203,49.6219599725839,0.19788918208185827,0.15118110236220472,374.99997588872714,288,1894.9998781577012
34005701204,39.44173245309729,0.3734853902142309,0.48986125933831376,1048.000004941132,1377,2806.0000132297864
34005701205,50.20825941408751,0.24031345343374644,0.15812149935372685,552.0000025373156,367,2297.0000105583586
34005701301,57.69500853406254,0.17415766927496218,0.13887533810643787,840.1143012829145,669,4823.8719688103665
34005701302,49.27748741518353,0.16215177338988634,0.021996943183412786,417.88664753173003,58,2577.1326755376394
34005701303,73.34220610726561,0.20269075007388923,0.08534850640113797,572.0112626602427,240,2822.088712237378
34005701401,76.31223688511592,0.13084621120187745,0.039998628618447364,460.2012508126712,105,3517.115641108096
34005701402,7.599615935061043,0.1308507878885854,0.017614091273018415,45.83668198739644,22,350.29733052423325
34005701502,66.99764620849498,0.09630082686233107,0.10563165905631659,315.00000466668496,347,3271.0000484594493
34005701700,54.68542883503707,0.17276516919570575,0.17000691085003455,746.0000005870575,738,4318.000003398009
34005702101,36.376845575515496,0.4857997920846781,0.34073939173192497,2460.650218477628,1871,5065.15301958071
34005702203,53.96737644300362,0.14491672976755315,0.5519751535979907,578.1624173571669,2202,3989.6181904423365
34005702204,48.5285254855621,0.41472562916602684,0.35017252169206575,832.3380709191786,828.1300000000001,2006.9607622153576
34005702206,46.935349083943784,0.265895863378019,0.21956097584829265,536.6985458154096,449,2018.453895998873
34005702207,47.27537219823974,0.2208733116066735,0.34441792498782264,907.2154860417447,1414.1799999999998,4107.402066523169
34005702208,51.55913453621005,0.15509624603290037,0.21939532319066812,1192.150404986658,1695,7686.520232778567
34005702209,18.02637825395387,0.210114454569871,0.24260382624417515,609.7515761642695,676.2800000000002,2901.997308587093
34005702210,30.028605694550347,0.2101144427173149,0.35565867247488503,1015.7331325415495,1802.7200000000003,4834.189745635366
34005702300,51.27905797052616,0.2735583172241189,0.21857627785703743,376.4657094425367,311.01,1376.1808200187752
34005702400,209.37809582340643,0.1507429506907488,0.06358022999218746,434.58847171158186,185.55000000000018,2882.9769858500968
34005702500,73.86063190016574,0.12014635468950088,0.15816754416894258,604.7437200544579,793.9899999999998,5033.392279384753
34005702601,57.056469191269585,0.15259583704167193,0.19040969174807168,692.8946150244124,852.1899999999996,4540.717603072019
34005702603,42.28121592051893,0.35071654517364936,0.1818935262773803,847.1204520903004,496,2415.3990643028774
34005702700,64.42520337976616,0.07492201276120748,0.21599174971927057,439.826718509931,1296.4300000000003,5870.4604147024875
34005702801,56.89145087265001,0.10546768989624829,0.6297771725771273,262.9978748023463,1614.1,2493.634441047173
34005702802,49.78186217768041,0.14167709665497397,0.6843156843156843,566.000001136621,2740,3995.0000080226164
34005702803,56.766789108418344,0.08484259298114795,0.6061577371282042,384.0182613910729,2761,4526.243755430945
34005702804,52.660042332012424,0.1389507148713199,0.580952380952381,436.99999827030115,1830,3144.9999875517096
34005702805,48.0229738214774,0.16132031547472617,0.6356463216523556,693.9999971722718,2739,4301.999982471345
34005702806,46.32008321086968,0.1332120975148274,0.6221114635251472,583.3489791462356,2746,4379.09924789128
34005702807,47.81949681781716,0.1383115456273685,0.552720074715593,427.6538352793943,1734.01,3091.96050585312
34005702808,46.90368158255268,0.17176054547359765,0.6852689793866265,679.9999995299731,2726,3958.999997263476
34005702809,44.61179660373554,0.10639827326626405,0.44318983768525055,147.9999981133733,628,1390.9999822682585
34005702810,81.76164475042653,0.14177693719056458,0.5528507367072389,224.999999321426,863,1586.9999952137914
34005702811,71.10595915948396,0.04442032854083553,0.7277415970977753,142.02896092020092,2331,3197.3865726168406
34005702905,91.12476341371534,0.04810669450633244,0.0634614131339925,201.72501752086646,262.9199999999996,4193.283903812467
34005702906,73.83473878596894,0.11735953699734865,0.05207313323399321,210.2667841853788,110.07999999999993,1791.6463360549785
34005702907,15.683373741308083,0.06143344520185554,0.04567078972407231,97.77088558596172,144,1591.4927487048212
34005702908,34.468179623098976,0.061433446914949,0.07116499736425935,214.8762442235411,135,3497.7077531943078
34005702909,33.58217387843107,0.06143344678591412,0.1786424311275206,209.35284296311778,629,3407.7990548996395
