GEOID,li_c,moe_li_c,cv_li_c,cat_li_c
34007600200,0.4578804347826087,0.13653127245340865,0.1812650808144612,Medium
34007600400,0.7209007294640025,0.10952370983722778,0.09235635379157714,High
34007600700,0.37896825396825395,0.11112868829033497,0.17826145832469908,Medium
34007600800,0.7805740432612313,0.08477322252187763,0.06602048110410358,High
34007600900,0.7451025056947608,0.07728292137668095,0.06305239743265251,High
34007601000,0.5121249486230991,0.08750890845014639,0.10387485510311716,High
34007601101,0.5794520547945206,0.11987765098354845,0.1257635577658358,Medium
34007601102,0.5418188458729,0.08219306393653301,0.09221788572298419,High
34007601200,0.5841978115674293,0.09055471879840425,0.09422914667880757,High
34007601300,0.7682379349046016,0.1134547159283702,0.08977613450429982,High
34007601400,0.6234689845910707,0.09698976575970877,0.09456820689411895,High
34007601500,0.6061493411420205,0.09514328267208394,0.09541850148309669,High
34007601600,0.7292595896520964,0.08318033303348644,0.06933820646796486,High
34007601700,0.7764747690120825,0.09753993075576477,0.07636409204696905,High
34007601800,0.6661721068249258,0.1586598676933892,0.14478205647855663,Medium
34007601900,0.8417575156921044,0.09608211962087947,0.06938884686777451,High
34007602000,0.6119826886664863,0.10625920116879149,0.10555079459833673,High
34007602503,0.23646850044365572,0.11441898858067874,0.29414326232867793,Medium
34007602601,0.18347925390178912,0.0943919652064832,0.31273908435903003,Medium
34007602602,0.3234527687296417,0.07065568950026144,0.13279152656180046,Medium
34007602901,0.1337126600284495,0.051353194806672255,0.23346889962549694,Medium
34007602902,0.20265379975874548,0.06184013871324246,0.18550251481139818,Medium
34007603001,0.19758175322890903,0.09936259040407444,0.3057103681493013,Medium
34007603002,0.3444803344100323,0.06733886756713582,0.11883256521402698,High
34007603100,0.30718954248366015,0.09384627849772272,0.18571403492403252,Medium
34007603200,0.15237388724035608,0.06089829626886567,0.2429565955387839,Medium
34007603301,0.21088794926004228,0.07345233121221094,0.2117326913842404,Medium
34007603302,0.10290414638240725,0.051425571117792626,0.3037948076862415,Medium
34007603303,0.25720876585928487,0.07826649132194115,0.18497975377519316,Medium
34007603400,0.10993626882966397,0.0370050963448458,0.20462309242669757,Medium
34007603501,0.199137655701054,0.06953356141695684,0.21226343179520635,Medium
34007603503,0.033326119887470244,0.01832129097595364,0.334199208936493,Medium
34007603504,0.08339456282145481,0.03657553588976981,0.26661652234632627,Medium
34007603505,0.11390134529147983,0.05062813394539061,0.27020735394352025,Medium
34007603506,0.08585705632949728,0.04432487858457057,0.31383809435090465,Medium
34007603507,0.10251046025104603,0.03561531891807675,0.21120429803164426,Medium
34007603601,0.1448476052249637,0.0562691660752536,0.2361528858680871,Medium
34007603602,0.03593815294609277,0.022020455373854032,0.37248144277679157,Medium
34007603603,0.03592814371257485,0.018286705682922958,0.3094103190524959,Medium
34007603700,0.31645569620253167,0.10244166701273473,0.19678763997583082,Medium
34007603800,0.11046974522292993,0.03487919380829077,0.19193632869777685,Medium
34007603901,0.17419738406658739,0.06660723412107054,0.23244160667166128,Medium
34007603902,0.07640525075732077,0.03783716205490241,0.3010436336652653,Medium
34007604100,0.5364126770060688,0.08512734098295466,0.09647263324110107,High
34007604200,0.21643059490084987,0.08086610315532423,0.22713390103144107,Medium
34007604300,0.16606698034874065,0.04316782928267289,0.1580196222880417,Medium
34007604400,0.11858760826115923,0.04362702878063742,0.2236404842721791,Medium
34007604600,0.1689637570188872,0.053364174613099995,0.19199518465194884,Medium
34007604700,0.11671469740634005,0.049375350902318045,0.25716907595938854,Medium
34007605100,0.23255813953488372,0.07602524913794771,0.19872861476788764,Medium
34007605200,0.2696817420435511,0.08766737656769717,0.19761529880086545,Medium
34007605300,0.2965212589729431,0.09422527752370145,0.19317267221977702,Medium
34007605400,0.19102803738317756,0.06197205123457608,0.19721178100332623,Medium
34007605602,0.13786831575118225,0.057207379464881344,0.25224448620824086,Medium
34007605700,0.17326172979084228,0.06074413909828547,0.21312570509253312,Medium
34007605800,0.189600282985497,0.12451382667561074,0.3992203738283713,Medium
34007605900,0.04480570975416336,0.03279794388471765,0.4449870321825748,Low
34007606000,0.07304669440591771,0.027730470273059905,0.2307760655635742,Medium
34007606100,0.06336088154269973,0.04295790067806877,0.4121505998715201,Low
34007606200,0.11737089201877934,0.0419318011286679,0.21717869034422524,Medium
34007606300,0.14774166314900802,0.09434265644565654,0.3881854157529489,Medium
34007606400,0.009800822004426177,0.008829535884962804,0.5476580449874958,Low
34007606500,0.2481977342945417,0.07583191725211377,0.18573267830796825,Medium
