geoid,year,pop,hu,own,vhu,rm,em
42029303000,1990,1.13118,0.38805,94.0868162881333,4.123180002576987,6.333153581626437,1.4144396608880914
42029303100,1990,2.6236599999999997,0.86195,92.45070080698986,4.397006786936594,3.773735926148975,1.5569852801048918
42029303301,1990,1.7273699999999999,0.60882,81.42165352939098,7.062842876383843,10.077748253124689,15.97804755205891
42029303302,1990,2.89858,1.2262,75.66805747136284,4.81242864133094,2.311476654085794,1.586983971461888
42029303401,1990,3.37,1.247,61.39767054908486,3.608660785886127,14.213649851632049,12.87833827893175
42029303402,1990,1.84628,0.7363,54.25711425711426,5.025125628140704,22.906601382238883,12.349156140997032
42029303501,1990,2.6845700000000003,0.933,84.5124478964991,5.888531618435149,4.795535987007271,5.88360190420848
42029303502,1990,2.09267,0.7478899999999999,82.9807286538191,4.945914506143953,3.9179425425769723,1.5769252824129825
42029303801,1990,3.9100300000000003,1.2663,90.46538937953446,1.8194740582800257,5.316071743695053,0.6138060321787813
42029303802,1990,6.48374,1.9469100000000001,96.51171889263898,1.5367942020946166,4.1924876691539135,0.8016977855373596
42029303901,1990,2.3093000000000004,0.75512,93.56819178482678,9.405127661828582,2.728099424067899,0.3464253236911618
42029303902,1990,4.1377299999999995,1.51433,89.40792188144685,3.9707329313953954,3.0526399740920627,0.9178945943790435
42029304000,1990,2.61823,1.08102,67.03610272528017,10.52524467632421,7.598673908227721,1.4899435494343483
42029304101,1990,4.308680000000001,1.9096,44.3541395752059,3.3514872224549643,10.861795259801156,1.6710454245847914
42029304102,1990,3.43879,1.24693,73.08591370767282,2.565500870137057,11.164973726223458,1.9771489390163401
42029304201,1990,6.2461899999999995,2.30681,71.590832232377565,3.859875759165253,10.999665396025422,1.4732180737377503
42029304300,1990,5.19841,1.75575,88.10791686155987,5.021785561725762,3.770383636535018,0.7309927458588299
42029304403,1990,3.67392,1.41077,79.90847533298609,4.739964700128291,4.111128954552766,1.2243020416828845
42029304404,1990,4.98621,1.97638,61.65625842750101,4.313441747032453,4.281198984401014,0.6622250923545291
42029304405,1990,3.7254,1.1568,97.75945509948019,3.544260027662517,4.428786170612546,1.2079239813174425
42029304406,1990,0.60539,0.19712000000000002,92.93938735607212,6.594967532467533,2.8097589983316524,0.3303655494805002
42029304501,1990,3.10001,0.963,92.29207383279045,4.361370716510903,1.9032196670333321,0.6774171696220335
42029304502,1990,1.29618,0.42706,93.2099410014097,10.303001920104904,2.777392028884877,1.6973082234583425
42029304600,1990,2.53811,0.779,86.52795597941825,2.9512195121951232,2.7969741144950864,0.9849887711280092
42029304900,1990,5.4393400000000005,1.7980699999999998,78.86799004572023,3.90251769953338,1.9849834722594903,0.8032224497825105
42029305000,1990,1.19054,0.48894,69.4397956487272,7.121528203869594,2.0940077611839873,0.2780227625887195
42029305101,1990,3.21292,1.1091099999999998,88.8009941482505,2.7770013794844477,1.804900215380395,0.7155484730401006
42029305102,1990,2.94396,0.97163,90.66658251548908,2.1571997571091797,3.2269460182882916,0.5095177923613092
42029305300,1990,3.9833600000000002,1.49855,79.54371261774293,6.839945280437757,30.92005010832537,2.18684728470437
