GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CY8AA1990,CY8AA1990L,CY8AA1990U,CY8AA2000,CY8AA2000L,CY8AA2000U,CY8AA2010,CY8AB1990,CY8AB1990L,CY8AB1990U,CY8AB2000,CY8AB2000L,CY8AB2000U,CY8AB2010,CY8AC1990,CY8AC1990L,CY8AC1990U,CY8AC2000,CY8AC2000L,CY8AC2000U,CY8AC2010,CY8AD1990,CY8AD1990L,CY8AD1990U,CY8AD2000,CY8AD2000L,CY8AD2000U,CY8AD2010,CY8AE1990,CY8AE1990L,CY8AE1990U,CY8AE2000,CY8AE2000L,CY8AE2000U,CY8AE2010,CY8AF1990,CY8AF1990L,CY8AF1990U,CY8AF2000,CY8AF2000L,CY8AF2000U,CY8AF2010,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010
G3400010000100,2010,New Jersey,34,Atlantic County,001,000100,1991,1991,1991,2266,2266,2266,2417,1546,1546,1546,1155,1155,1155,1147,306,306,306,469,469,469,508,5,5,5,7,7,7,13,53,53,53,120,120,120,299,0,0,0,1,1,1,0,81,81,81,407,407,407,371,NA,107,107,107,79,1371,1371,1371,987,987,987,691,293,293,293,439,439,439,429,4,4,4,7,7,7,4,45,45,45,120,120,120,297,0,0,0,2,2,2,0,278,278,278,711,711,711,996,931,931,931,957,957,957,936,417,417,417,407,407,407,361,420,420,420,436,436,436,496
G3400010000200,2010,New Jersey,34,Atlantic County,001,000200,2606,2606,2606,3230,3230,3230,3202,2298,2298,2298,1935,1935,1935,1674,51,51,51,82,82,82,146,0,0,0,5,5,5,15,132,132,132,535,535,535,740,0,0,0,0,0,0,2,125,125,125,452,452,452,522,NA,221,221,221,103,2162,2162,2162,1571,1571,1571,1294,50,50,50,83,83,83,116,0,0,0,4,4,4,8,121,121,121,553,553,553,765,3,3,3,7,7,7,8,270,270,270,1012,1012,1012,1011,2041,2041,2041,1965,1965,1965,1929,793,793,793,708,708,708,674,427,427,427,567,567,567,601
G3400010000300,2010,New Jersey,34,Atlantic County,001,000300,2622,2622,2622,3424,3424,3424,4373,1828,1828,1828,1052,1052,1052,1354,157,157,157,223,223,223,345,12,12,12,34,34,34,22,236,236,236,859,859,859,1179,2,2,2,2,2,2,1,387,387,387,1031,1031,1031,1057,NA,223,223,223,415,1616,1616,1616,727,727,727,638,139,139,139,190,190,190,268,12,12,12,6,6,6,3,230,230,230,912,912,912,1188,2,2,2,10,10,10,1,623,623,623,1579,1579,1579,2275,1523,1523,1523,1400,1400,1400,1699,323,323,323,383,383,383,376,869,869,869,834,834,834,1035
G3400010000400,2010,New Jersey,34,Atlantic County,001,000400,2306,2306,2306,3100,3100,3100,2606,1612,1612,1612,1406,1406,1406,1032,150,150,150,371,371,371,247,16,16,16,10,10,10,8,207,207,207,615,615,615,688,1,1,1,0,0,0,2,320,320,320,536,536,536,517,NA,162,162,162,112,1383,1383,1383,1107,1107,1107,805,124,124,124,323,323,323,222,6,6,6,10,10,10,3,207,207,207,638,638,638,695,6,6,6,7,7,7,6,580,580,580,1015,1015,1015,875,2671,2671,2671,2504,2504,2504,2302,391,391,391,373,373,373,388,663,663,663,915,915,915,798
G3400010000500,2010,New Jersey,34,Atlantic County,001,000500,2382,2382,2382,2941,2941,2941,3503,1446,1446,1446,949,949,949,731,172,172,172,204,204,204,161,4,4,4,6,6,6,31,322,322,322,823,823,823,1274,0,0,0,0,0,0,0,438,438,438,751,751,751,1009,NA,208,208,208,297,1200,1200,1200,725,725,725,373,157,157,157,161,161,161,123,4,4,4,2,2,2,6,287,287,287,860,860,860,1291,3,3,3,4,4,4,7,731,731,731,1189,1189,1189,1703,1080,1080,1080,1049,1049,1049,1064,347,347,347,378,378,378,371,554,554,554,574,574,574,558
G3400010001100,2010,New Jersey,34,Atlantic County,001,001100,2128,2128,2128,1889,1889,1889,2027,51,51,51,82,82,82,154,2020,2020,2020,1707,1707,1707,1672,10,10,10,11,11,11,11,0,0,0,4,4,4,41,0,0,0,0,0,0,8,47,47,47,55,55,55,73,NA,30,30,30,68,48,48,48,46,46,46,94,1974,1974,1974,1697,1697,1697,1641,10,10,10,10,10,10,10,0,0,0,4,4,4,43,3,3,3,3,3,3,2,93,93,93,129,129,129,237,1046,1046,1046,1024,1024,1024,1026,173,173,173,129,129,129,141,774,774,774,784,784,784,801
G3400010001200,2010,New Jersey,34,Atlantic County,001,001200,3382.81,3115,3393,3204.21,2947,3233,3174,179.95,178,180,220.79,213,223,309,3104.08,2844,3114,2702.81,2469,2729,2463,19,19,19,10.98,9,11,26,7,7,7,20,20,20,95,0,0,0,3,3,3,2,72.78,67,73,121.76,114,122,191,NA,124.86,119,125,88,143.99,143,144,186.76,178,189,170,3085.08,2825,3095,2743.8,2511,2769,2406,13,13,13,9.98,8,10,13,2,2,2,24,24,24,92,0,0,0,5,5,5,11,138.74,132,139,234.67,221,236,482,1421.71,1290,1428,1363.97,1239,1378,1406,583.96,579,584,541.9,534,542,502,669.09,551,675,649.18,535,663,697
G3400010001300,2010,New Jersey,34,Atlantic County,001,001300,2206,2206,2206,2112,2112,2112,1984,156,156,156,183,183,183,273,1999,1999,1999,1780,1780,1780,1518,25,25,25,4,4,4,6,8,8,8,6,6,6,34,0,0,0,0,0,0,0,18,18,18,106,106,106,70,NA,33,33,33,83,151,151,151,167,167,167,205,1971,1971,1971,1785,1785,1785,1520,21,21,21,4,4,4,4,8,8,8,6,6,6,34,5,5,5,0,0,0,5,50,50,50,150,150,150,216,864,864,864,888,888,888,907,392,392,392,393,393,393,375,412,412,412,411,411,411,416
G3400010001400,2010,New Jersey,34,Atlantic County,001,001400,3810.19,3711,4078,4034.79,4006,4292,3623,204.05,158,206,257.21,255,265,438,3400.92,3359,3661,3296.19,3270,3530,2728,23,23,23,22.02,22,24,23,5,5,5,11,11,11,53,0,0,0,3,3,3,0,177.22,166,183,334.24,334,342,272,NA,111.14,111,117,109,125.01,80,126,114.24,112,123,194,3326.92,3285,3587,3302.2,3277,3535,2562,21,21,21,9.02,9,11,11,5,5,5,13,13,13,58,1,1,1,8,8,8,3,331.26,319,338,588.33,587,602,795,1463.29,1354,1595,1691.03,1677,1816,1608,298.04,280,303,270.1,270,278,253,1008.91,977,1127,1235.82,1222,1350,1130
G3400010001500,2010,New Jersey,34,Atlantic County,001,001500,2469,2469,2469,1957,1957,1957,1438,117,117,117,128,128,128,210,2272,2272,2272,1682,1682,1682,1048,22,22,22,3,3,3,1,1,1,1,8,8,8,66,0,0,0,3,3,3,0,57,57,57,81,81,81,67,NA,52,52,52,46,107,107,107,80,80,80,123,2215,2215,2215,1678,1678,1678,1035,19,19,19,3,3,3,1,1,1,1,9,9,9,68,1,1,1,1,1,1,0,126,126,126,186,186,186,211,1260,1260,1260,1030,1030,1030,810,212,212,212,127,127,127,80,872,872,872,768,768,768,668
G3400010001900,2010,New Jersey,34,Atlantic County,001,001900,2043,2043,2043,2047,2047,2047,1568,650,650,650,513,513,513,507,1037,1037,1037,956,956,956,759,18,18,18,12,12,12,6,61,61,61,184,184,184,133,0,0,0,4,4,4,2,277,277,277,287,287,287,119,NA,91,91,91,42,534,534,534,381,381,381,269,975,975,975,954,954,954,732,6,6,6,3,3,3,2,57,57,57,193,193,193,134,2,2,2,1,1,1,7,469,469,469,515,515,515,424,1253,1253,1253,1099,1099,1099,1064,44,44,44,28,28,28,48,884,884,884,887,887,887,708
G3400010002300,2010,New Jersey,34,Atlantic County,001,002300,3003,3003,3003,2785,2785,2785,2861,1165,1165,1165,983,983,983,762,754,754,754,387,387,387,254,8,8,8,25,25,25,36,299,299,299,427,427,427,823,0,0,0,4,4,4,0,777,777,777,811,811,811,838,NA,148,148,148,148,988,988,988,547,547,547,294,710,710,710,287,287,287,216,3,3,3,7,7,7,13,278,278,278,442,442,442,850,8,8,8,1,1,1,8,1016,1016,1016,1501,1501,1501,1480,1459,1459,1459,1081,1081,1081,1106,312,312,312,274,274,274,254,783,783,783,583,583,583,618
G3400010002400,2010,New Jersey,34,Atlantic County,001,002400,3633,3633,3633,2998,2998,2998,2752,1125,1125,1125,754,754,754,816,2109,2109,2109,1410,1410,1410,1181,23,23,23,29,29,29,19,143,143,143,340,340,340,421,2,2,2,2,2,2,0,231,231,231,289,289,289,178,NA,174,174,174,137,1016,1016,1016,619,619,619,611,1993,1993,1993,1412,1412,1412,1160,14,14,14,17,17,17,5,123,123,123,378,378,378,452,15,15,15,0,0,0,4,472,472,472,572,572,572,520,2517,2517,2517,1970,1970,1970,1800,186,186,186,85,85,85,96,1287,1287,1287,1121,1121,1121,1163
G3400010002500,2010,New Jersey,34,Atlantic County,001,002500,3404,3404,3493,4529,4529,4529,4030,1088,1088,1134,1191,1191,1191,1136,1959,1959,1991,2622,2622,2622,2118,8,8,8,14,14,14,25,27,27,27,261,261,261,307,3,3,3,2,2,2,1,319,319,330,313,313,313,265,NA,126,126,126,178,862,862,907,971,971,971,783,1861,1861,1893,2554,2554,2554,2090,8,8,8,10,10,10,22,24,24,24,263,263,263,314,14,14,14,6,6,6,2,635,635,647,725,725,725,819,2096,2096,2199,2197,2197,2197,2356,311,311,329,488,488,488,518,1325,1325,1351,1498,1498,1498,1378
G3400010010101,2010,New Jersey,34,Atlantic County,001,010101,3906.62,3897,3910,4384.1,4373,4388,3497,3765.62,3756,3769,4080.62,4071,4084,3307,58,58,58,60.48,59,61,34,8,8,8,8,8,8,4,39,39,39,102,102,102,53,0,0,0,4,4,4,0,36,36,36,71,71,71,49,NA,58,58,58,50,3684.62,3675,3688,3999.62,3990,4003,3234,57,57,57,60.48,59,61,47,8,8,8,3,3,3,4,39,39,39,106,106,106,55,0,0,0,2,2,2,2,118,118,118,213,213,213,155,2493.66,2487,2496,2716.66,2710,2719,2723,1029.22,1027,1030,1347.96,1345,1349,1110,479.74,479,480,453.22,451,454,357
G3400010010102,2010,New Jersey,34,Atlantic County,001,010102,2711.38,2708,2721,2432.9,2429,2444,1702,2635.38,2632,2645,2322.38,2319,2332,1595,32,32,32,27.52,27,29,19,1,1,1,2,2,2,3,14,14,14,32,32,32,36,1,1,1,0,0,0,1,28,28,28,25,25,25,16,NA,24,24,24,32,2603.38,2600,2613,2287.38,2284,2297,1567,30,30,30,23.52,23,25,25,1,1,1,2,2,2,2,9,9,9,32,32,32,37,0,0,0,0,0,0,0,68,68,68,88,88,88,71,2109.34,2107,2116,2267.34,2265,2274,2247,831.78,831,834,836.04,835,839,594,394.26,394,395,341.78,341,344,252
G3400010010104,2010,New Jersey,34,Atlantic County,001,010104,2006,2006,2006,2272,2272,2272,1491,1804,1804,1804,1852,1852,1852,1343,105,105,105,98,98,98,47,7,7,7,7,7,7,1,42,42,42,59,59,59,35,3,3,3,0,0,0,0,45,45,45,194,194,194,27,NA,62,62,62,38,1725,1725,1725,1758,1758,1758,1297,88,88,88,99,99,99,52,7,7,7,7,7,7,0,40,40,40,64,64,64,35,1,1,1,5,5,5,0,145,145,145,339,339,339,107,2051,2051,2051,2174,2174,2174,2051,361,361,361,496,496,496,343,606,606,606,608,608,608,446
G3400010010105,2010,New Jersey,34,Atlantic County,001,010105,2730,2730,2730,3505,3505,3505,2760,2404,2404,2404,2217,2217,2217,2008,169,169,169,310,310,310,175,8,8,8,6,6,6,8,103,103,103,527,527,527,322,0,0,0,2,2,2,2,46,46,46,298,298,298,145,NA,145,145,145,100,2284,2284,2284,2044,2044,2044,1911,157,157,157,304,304,304,175,8,8,8,4,4,4,1,102,102,102,591,591,591,347,4,4,4,17,17,17,9,175,175,175,545,545,545,317,2142,2142,2142,2146,2146,2146,2201,487,487,487,807,807,807,706,634,634,634,583,583,583,486
G3400010010200,2010,New Jersey,34,Atlantic County,001,010200,5582,5582,5582,5656,5656,5656,5890,5338,5338,5338,5182,5182,5182,5174,78,78,78,134,134,134,280,7,7,7,5,5,5,21,119,119,119,192,192,192,182,1,1,1,0,0,0,0,39,39,39,78,78,78,119,NA,65,65,65,114,5287,5287,5287,5149,5149,5149,5028,69,69,69,144,144,144,305,7,7,7,5,5,5,6,120,120,120,193,193,193,181,2,2,2,2,2,2,8,97,97,97,163,163,163,362,2016,2016,2016,2138,2138,2138,2343,1756,1756,1756,1863,1863,1863,2036,181,181,181,193,193,193,191
G3400010010300,2010,New Jersey,34,Atlantic County,001,010300,1716,1716,1716,1982,1982,1982,2521,1354,1354,1354,1181,1181,1181,1256,235,235,235,325,325,325,552,6,6,6,8,8,8,11,119,119,119,378,378,378,485,0,0,0,0,0,0,0,2,2,2,37,37,37,128,NA,53,53,53,89,1308,1308,1308,1151,1151,1151,1161,227,227,227,306,306,306,543,5,5,5,3,3,3,10,119,119,119,397,397,397,528,0,0,0,0,0,0,10,57,57,57,125,125,125,269,755,755,755,764,764,764,1022,433,433,433,508,508,508,673,209,209,209,209,209,209,279
G3400010010401,2010,New Jersey,34,Atlantic County,001,010401,4028.36,4001,4130,4654,4654,4654,5536,3637.36,3610,3739,4091,4091,4091,4799,304,304,304,330,330,330,418,5,5,5,6,6,6,12,29,29,29,77,77,77,99,0,0,0,1,1,1,1,53,53,53,83,83,83,100,NA,66,66,66,107,3562.36,3535,3664,4022,4022,4022,4633,294,294,294,339,339,339,438,5,5,5,6,6,6,9,29,29,29,79,79,79,100,3,3,3,0,0,0,6,135,135,135,208,208,208,350,1520.14,1509,1555,1841,1841,1841,2408,1256.76,1246,1287,1427,1427,1427,1636,203.37,203,208,318,318,318,594
G3400010010403,2010,New Jersey,34,Atlantic County,001,010403,2547,2547,2547,3974,3974,3974,6992,2291,2291,2291,2921,2921,2921,4028,140,140,140,324,324,324,743,2,2,2,12,12,12,31,78,78,78,488,488,488,1570,1,1,1,1,1,1,0,35,35,35,148,148,148,369,NA,80,80,80,251,2255,2255,2255,2817,2817,2817,3623,140,140,140,343,343,343,744,2,2,2,7,7,7,26,79,79,79,498,498,498,1631,3,3,3,7,7,7,35,68,68,68,302,302,302,933,891,891,891,1331,1331,1331,2156,731,731,731,1092,1092,1092,1745,98,98,98,184,184,184,317
G3400010010501,2010,New Jersey,34,Atlantic County,001,010501,4713.64,4375,4741,6123,6123,6123,7299,4424.64,4096,4452,5507,5507,5507,6535,165,163,165,239,239,239,314,12,11,12,10,10,10,8,79,72,79,181,181,181,235,0,0,0,1,1,1,2,33,33,33,60,60,60,73,NA,125,125,125,132,4356.64,4029,4384,5478,5478,5478,6382,163,161,163,258,258,258,312,12,11,12,10,10,10,3,79,72,79,189,189,189,238,1,1,1,9,9,9,7,102,101,102,179,179,179,357,2239.86,2100,2251,2812,2812,2812,3475,1305.24,1205,1316,2057,2057,2057,2709,601.63,585,602,529,529,529,480
G3400010010503,2010,New Jersey,34,Atlantic County,001,010503,4496,4496,4496,7016,7016,7016,7718,3630,3630,3630,4116,4116,4116,3914,614,614,614,1449,1449,1449,2134,6,6,6,26,26,26,21,151,151,151,854,854,854,867,0,0,0,0,0,0,2,95,95,95,350,350,350,461,NA,221,221,221,319,3439,3439,3439,3855,3855,3855,3416,584,584,584,1457,1457,1457,2084,6,6,6,19,19,19,8,142,142,142,860,860,860,859,4,4,4,16,16,16,23,321,321,321,809,809,809,1328,2193,2193,2193,2936,2936,2936,3336,511,511,511,1226,1226,1226,1711,1305,1305,1305,1511,1511,1511,1389
G3400010010505,2010,New Jersey,34,Atlantic County,001,010505,2279,2279,2516,2898,2898,2898,3044,2104,2104,2331,2454,2454,2454,2547,50,50,52,166,166,166,139,2,2,3,1,1,1,9,93,93,100,192,192,192,189,3,3,3,2,2,2,1,27,27,27,31,31,31,91,NA,52,52,52,68,2084,2084,2310,2437,2437,2437,2467,48,48,50,175,175,175,145,2,2,3,1,1,1,8,96,96,103,200,200,200,194,5,5,5,7,7,7,12,44,44,45,78,78,78,218,833,833,938,989,989,989,1256,697,697,767,872,872,872,924,85,85,97,85,85,85,106
G3400010010506,2010,New Jersey,34,Atlantic County,001,010506,4327,4327,4327,5551,5551,5551,5458,3919,3919,3919,4340,4340,4340,4140,169,169,169,340,340,340,299,8,8,8,17,17,17,19,187,187,187,643,643,643,728,0,0,0,10,10,10,2,44,44,44,82,82,82,112,NA,119,119,119,158,3826,3826,3826,4256,4256,4256,3954,162,162,162,354,354,354,315,8,8,8,10,10,10,17,182,182,182,677,677,677,761,7,7,7,5,5,5,9,142,142,142,249,249,249,402,1546,1546,1546,1864,1864,1864,1927,1255,1255,1255,1658,1658,1658,1660,214,214,214,157,157,157,193
G3400010010600,2010,New Jersey,34,Atlantic County,001,010600,4583,4583,4583,4545,4545,4545,4243,3612,3612,3612,3036,3036,3036,2671,509,509,509,645,645,645,761,6,6,6,17,17,17,16,33,33,33,57,57,57,94,0,0,0,4,4,4,4,423,423,423,613,613,613,521,NA,173,173,173,176,3104,3104,3104,2723,2723,2723,2285,482,482,482,623,623,623,739,5,5,5,7,7,7,5,33,33,33,69,69,69,94,0,0,0,7,7,7,5,959,959,959,1116,1116,1116,1115,1750,1750,1750,1770,1770,1770,1736,1019,1019,1019,1051,1051,1051,944,648,648,648,607,607,607,649
G3400010010700,2010,New Jersey,34,Atlantic County,001,010700,5896,5896,5910,5912,5912,5912,6147,5010,5010,5024,4764,4764,4764,5118,541,541,541,371,371,371,349,11,11,11,16,16,16,14,56,56,56,49,49,49,42,2,2,2,7,7,7,2,276,276,276,509,509,509,442,NA,196,196,196,180,4581,4581,4595,4486,4486,4486,4699,501,501,501,377,377,377,340,11,11,11,11,11,11,12,52,52,52,60,60,60,44,16,16,16,3,3,3,6,735,735,735,975,975,975,1046,2081,2081,2087,2176,2176,2176,2360,1669,1669,1673,1772,1772,1772,1871,252,252,252,272,272,272,283
G3400010010800,2010,New Jersey,34,Atlantic County,001,010800,2552,2552,2552,2614,2614,2614,3106,2453,2453,2453,2311,2311,2311,2536,28,28,28,67,67,67,73,0,0,0,2,2,2,19,20,20,20,30,30,30,31,0,0,0,0,0,0,0,51,51,51,171,171,171,341,NA,33,33,33,106,2343,2343,2343,2146,2146,2146,2366,27,27,27,67,67,67,81,0,0,0,0,0,0,3,20,20,20,30,30,30,31,1,1,1,1,1,1,3,161,161,161,370,370,370,622,907,907,907,934,934,934,1220,621,621,621,618,618,618,785,255,255,255,272,272,272,376
G3400010010900,2010,New Jersey,34,Atlantic County,001,010900,4932,4918,4932,4945,4945,4945,5880,4669,4655,4669,4347,4347,4347,4788,53,53,53,63,63,63,250,2,2,2,13,13,13,10,40,40,40,69,69,69,108,0,0,0,0,0,0,1,168,168,168,410,410,410,582,NA,43,43,43,141,4389,4375,4389,4149,4149,4149,4398,50,50,50,63,63,63,253,2,2,2,5,5,5,6,40,40,40,69,69,69,109,0,0,0,3,3,3,1,451,451,451,656,656,656,1113,1932,1926,1932,2023,2023,2023,2359,1237,1233,1237,1317,1317,1317,1478,605,605,605,610,610,610,750
G3400010011000,2010,New Jersey,34,Atlantic County,001,011000,2126,2126,2126,2229,2229,2229,2666,2053,2053,2053,2006,2006,2006,2358,26,26,26,33,33,33,52,1,1,1,3,3,3,5,7,7,7,19,19,19,22,0,0,0,0,0,0,0,39,39,39,138,138,138,162,NA,30,30,30,67,1980,1980,1980,1913,1913,1913,2171,20,20,20,32,32,32,50,1,1,1,0,0,0,1,5,5,5,19,19,19,22,0,0,0,0,0,0,1,120,120,120,265,265,265,421,780,780,780,851,851,851,994,609,609,609,645,645,645,752,144,144,144,170,170,170,201
G3400010011100,2010,New Jersey,34,Atlantic County,001,011100,2598,2598,2598,2816,2816,2816,3139,2405,2405,2405,2409,2409,2409,2398,32,32,32,56,56,56,69,1,1,1,0,0,0,8,18,18,18,26,26,26,42,0,0,0,3,3,3,1,142,142,142,268,268,268,514,NA,54,54,54,107,2238,2238,2238,2148,2148,2148,2088,28,28,28,46,46,46,70,0,0,0,0,0,0,0,18,18,18,29,29,29,41,1,1,1,8,8,8,0,313,313,313,585,585,585,940,989,989,989,1035,1035,1035,1142,693,693,693,692,692,692,741,246,246,246,295,295,295,325
G3400010011201,2010,New Jersey,34,Atlantic County,001,011201,2180.98,2103,2181,1971.95,1876,1972,1885,2053.98,1981,2054,1808.95,1723,1809,1714,80,76,80,86.99,77,87,79,2,1,2,3,3,3,3,26,26,26,17,17,17,16,2,2,2,3,3,3,3,17,17,17,31,31,31,35,NA,22,22,22,35,2031.98,1962,2032,1784.96,1701,1785,1642,76,75,76,92.99,83,93,89,2,1,2,3,3,3,3,28,28,28,21,21,21,22,1,1,1,2,2,2,2,42,36,42,68,66,68,127,709.99,686,710,701.99,676,702,717,631.99,609,632,623.99,599,624,605,50,49,50,47,46,47,83
G3400010011202,2010,New Jersey,34,Atlantic County,001,011202,7669.12,7644,8177,7444.89,7433,7575,7570,6081.11,6079,6436,5753.85,5751,5853,5918,1237.01,1214,1389,1172.25,1164,1200,1018,20,20,21,16,16,16,35,14,14,14,17,17,17,80,1,1,1,1,1,1,3,316,316,316,303.79,303,307,312,NA,181,181,181,204,5789.07,5787,6130,5524.85,5522,5622,5546,1193.01,1170,1342,1179.25,1171,1207,1040,19,19,20,15,15,15,21,14,14,14,24,24,24,87,5,5,5,12,12,12,7,649.04,649,666,689.8,689,695,869,2731.4,2725,2928,2829.66,2826,2867,3008,2290.15,2286,2443,2315.41,2313,2351,2426,297.04,295,315,335.26,334,337,360
G3400010011300,2010,New Jersey,34,Atlantic County,001,011300,4441,4441,4441,3873,3873,3873,4603,3609,3609,3609,2993,2993,2993,3383,205,205,205,296,296,296,434,5,5,5,20,20,20,34,30,30,30,17,17,17,82,0,0,0,1,1,1,3,592,592,592,408,408,408,535,NA,138,138,138,132,3318,3318,3318,2627,2627,2627,2709,182,182,182,299,299,299,435,5,5,5,8,8,8,13,28,28,28,18,18,18,85,3,3,3,5,5,5,7,905,905,905,916,916,916,1354,1761,1761,1761,1553,1553,1553,1855,1133,1133,1133,914,914,914,1034,503,503,503,540,540,540,689
G3400010011401,2010,New Jersey,34,Atlantic County,001,011401,4196,4196,4196,4542,4542,4542,4759,3897,3897,3897,4154,4154,4154,4218,165,165,165,179,179,179,253,16,16,16,17,17,17,16,62,62,62,47,47,47,75,0,0,0,2,2,2,0,56,56,56,58,58,58,87,NA,85,85,85,110,3819,3819,3819,4025,4025,4025,4021,158,158,158,199,199,199,261,16,16,16,15,15,15,13,55,55,55,49,49,49,74,0,0,0,5,5,5,2,148,148,148,249,249,249,388,1463,1463,1463,1598,1598,1598,1810,1204,1204,1204,1320,1320,1320,1490,187,187,187,203,203,203,208
G3400010011403,2010,New Jersey,34,Atlantic County,001,011403,3628.9,3591,3795,4753.83,4715,4924,5793,2629.5,2602,2750,2495.02,2477,2574,2723,759.25,752,791,1543.16,1527,1614,1817,8.93,8,13,12,12,12,15,123.11,122,128,311.86,310,320,532,0,0,0,3,3,3,6,108.11,107,113,243.3,242,249,446,NA,145.49,144,152,254,2536.08,2511,2646,2355.26,2343,2409,2272,740.25,733,772,1554.54,1538,1627,1823,8.93,8,13,6,6,6,3,119.11,118,124,310.67,309,318,533,13,13,13,9,9,9,21,211.53,208,227,518.36,510,555,1141,1731.22,1708,1833,1953.95,1935,2037,2351,748.2,743,771,1042.97,1040,1056,1245,692.56,679,752,805.93,792,867,928
G3400010011404,2010,New Jersey,34,Atlantic County,001,011404,3240.1,3074,3419,5146.17,4976,5314,9359,2544.5,2424,2694,3597.98,3519,3727,6324,516.75,485,543,1058.84,988,1093,1665,17.07,13,18,18,18,18,26,75.89,71,77,142.14,134,144,650,0,0,0,2,2,2,9,85.89,81,87,218.7,213,220,370,NA,108.51,102,110,315,2446.92,2337,2591,3451.74,3398,3575,5803,498.75,467,525,1068.46,996,1103,1683,17.07,13,18,13,13,13,13,75.89,71,77,145.33,138,147,654,3,3,3,3,3,3,8,198.47,183,205,464.64,428,473,1198,1257.78,1156,1326,1888.05,1805,1954,3672,659.8,637,706,1196.03,1183,1243,2666,427.44,368,444,568.07,507,583,750
G3400010011500,2010,New Jersey,34,Atlantic County,001,011500,4932.9,4503,4958,6048.16,6014,6060,6592,3881.91,3600,3884,4396.2,4383,4399,4746,922.99,775,946,1162.76,1145,1171,1181,20,20,20,13,13,13,11,60,60,60,174,174,174,178,0,0,0,3,3,3,1,48,48,48,161.21,158,162,189,NA,138,138,138,286,3761.95,3491,3764,4276.2,4263,4279,4513,886.99,739,910,1179.76,1162,1188,1208,20,20,20,10,10,10,8,59,59,59,185,185,185,187,4,4,4,9,9,9,13,200.96,190,201,388.21,385,389,663,1886.61,1714,1893,2124.35,2113,2128,2363,1352.86,1223,1357,1717.61,1707,1720,1868,336.96,320,339,291.74,291,293,335
G3400010011600,2010,New Jersey,34,Atlantic County,001,011600,3773,3773,3773,4310,4310,4310,4942,3593,3593,3593,4009,4009,4009,4653,142,142,142,178,178,178,147,5,5,5,20,20,20,8,17,17,17,29,29,29,58,0,0,0,0,0,0,2,16,16,16,28,28,28,24,NA,46,46,46,50,3557,3557,3557,3957,3957,3957,4542,141,141,141,187,187,187,174,5,5,5,21,21,21,7,17,17,17,30,30,30,58,0,0,0,0,0,0,2,53,53,53,115,115,115,159,1401,1401,1401,1659,1659,1659,2105,1126,1126,1126,1374,1374,1374,1757,179,179,179,177,177,177,200
G3400010011701,2010,New Jersey,34,Atlantic County,001,011701,4594.13,4312,4836,6349.28,6194,6479,9371,3885.98,3623,4109,4391.94,4299,4503,4870,497.17,485,516,836.79,807,855,1205,7,6,7,15,15,15,51,140,136,140,647.93,643,648,1974,0,0,0,6,6,6,1,63.98,62,64,265.74,247,266,870,NA,185.88,177,186,400,3809.96,3548,4030,4182.13,4103,4293,4182,488.17,476,507,853.72,819,872,1228,6,5,6,12,12,12,19,135,131,135,652.93,648,653,2026,2.98,1,3,1.99,1,2,9,152.02,151,155,646.52,611,647,1907,2128.47,2014,2221,2449.71,2391,2497,3280,1566.27,1467,1648,1935.87,1891,1980,2610,344.04,332,350,377.86,367,379,497
