GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CY8AA1990,CY8AA1990L,CY8AA1990U,CY8AA2000,CY8AA2000L,CY8AA2000U,CY8AA2010,CY8AB1990,CY8AB1990L,CY8AB1990U,CY8AB2000,CY8AB2000L,CY8AB2000U,CY8AB2010,CY8AC1990,CY8AC1990L,CY8AC1990U,CY8AC2000,CY8AC2000L,CY8AC2000U,CY8AC2010,CY8AD1990,CY8AD1990L,CY8AD1990U,CY8AD2000,CY8AD2000L,CY8AD2000U,CY8AD2010,CY8AE1990,CY8AE1990L,CY8AE1990U,CY8AE2000,CY8AE2000L,CY8AE2000U,CY8AE2010,CY8AF1990,CY8AF1990L,CY8AF1990U,CY8AF2000,CY8AF2000L,CY8AF2000U,CY8AF2010,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010
G4201290801900,2010,Pennsylvania,42,Westmoreland County,129,801900,7246.07,6347,8689,6883.76,6176,8168,6623,7095.19,6220,8524,6737.17,6038,8005,6427,119.88,97,130,84.1,80,93,79,7,7,11,6,6,6,13,12,11,12,4,4,9,25,0,0,0,1,1,1,1,12,12,12,3,3,4,17,NA,48.49,44,50,61,7084.88,6210,8503,6762.08,6062,8029,6442,119.88,97,130,95.86,90,105,104,6,6,10,6,6,6,12,12,11,12,6,6,11,26,4,4,4,3,3,4,5,19.32,19,30,10.82,9,13,34,3054.36,2669,3610,3093.24,2756,3621,3275,2410.5,2132,2849,2481.95,2230,2900,2472,454.56,383,551,428.52,371,514,524
G4201290802001,2010,Pennsylvania,42,Westmoreland County,129,802001,2020.53,1522,3340,2428.83,2058,3129,2726,1982.53,1506,3292,2374.22,2011,3069,2600,16,1,22,10,7,11,22,0,0,0,1,1,2,2,21,15,25,29.99,26,30,76,0,0,0,0,0,0,0,1,0,1,6,6,6,10,NA,7.61,7,11,16,1964.53,1501,3273,2363.9,2004,3057,2582,16,1,22,9.01,6,11,32,0,0,0,1,1,2,0,21,15,25,29.99,26,30,75,0,0,0,1,1,1,2,19,5,20,23.92,20,28,35,696.24,562,1256,909.48,774,1250,985,593.62,490,1024,772.96,670,1001,877,79.87,53,180,80.77,62,157,65
G4201290802002,2010,Pennsylvania,42,Westmoreland County,129,802002,6469.02,4887,7161,7252.4,6570,7817,7611,6326.24,4822,6990,7035.73,6380,7584,7231,21.39,20,41,34.23,32,41,51,8,7,8,1,1,1,6,108.4,33,116,129.11,109,135,235,2,2,2,1,1,1,2,3,3,4,3,3,3,12,NA,48.33,44,52,74,6307.32,4807,6958,7028.81,6374,7575,7204,21.39,20,41,46.22,43,53,76,8,7,8,1,1,1,6,110.4,35,118,135.11,115,141,236,0,0,0,1,1,1,1,21.92,18,36,40.26,36,46,88,2668.22,2047,2901,3130,2804,3381,3427,1950.76,1480,2112,2292.8,2090,2470,2455,585.01,473,643,637.53,541,685,727
G4201290802101,2010,Pennsylvania,42,Westmoreland County,129,802101,4816.85,4804,5481,5171.77,5163,5470,4966,4544.62,4532,5194,4827.81,4821,5080,4604,35,35,35,40.02,40,44,52,3,3,3,7,7,7,4,226.23,226,241,253.72,252,286,253,0,0,0,0,0,0,0,8,8,8,19.01,19,20,6,NA,24.21,24,33,47,4530.55,4518,5178,4828,4821,5085,4599,35,35,35,47.05,47,55,71,3,3,3,7,7,7,4,226.23,226,241,255.72,254,288,256,4,4,4,10,10,10,1,18.07,18,20,24.01,24,25,35,1736.04,1732,1965,2060.02,2057,2175,2150,1496.78,1493,1705,1785.72,1783,1891,1816,189.2,189,204,202.21,202,207,207
G4201290802102,2010,Pennsylvania,42,Westmoreland County,129,802102,5096.08,4622,5098,5159.97,5076,5160,6071,4948.08,4474,4950,4974.97,4891,4975,5724,24,24,24,30,30,30,61,1,1,1,1,1,1,6,116,116,116,123,123,123,227,5,5,5,1,1,1,0,2,2,2,2,2,2,15,NA,28,28,28,38,4929.08,4455,4931,4978.97,4895,4979,5703,24,24,24,37,37,37,63,1,1,1,1,1,1,6,121,121,121,125,125,125,229,2,2,2,1,1,1,4,19,19,19,17,17,17,66,1865.29,1688,1866,2049.99,2015,2050,2634,1662.37,1506,1663,1801.99,1771,1802,2103,151.94,136,152,177,176,177,407
G4201290802103,2010,Pennsylvania,42,Westmoreland County,129,802103,1895.25,1071,2433,2289.45,1422,2698,2328,1831.31,1052,2354,2152.55,1348,2537,2138,1,0,10,15.98,7,27,11,0,0,0,0,0,1,10,59.94,19,66,99.95,62,111,139,0,0,0,0,0,0,0,3,0,3,2,2,2,6,NA,18.97,3,20,24,1822.31,1052,2345,2159.53,1346,2544,2133,1,0,10,16.98,8,29,15,0,0,0,0,0,1,8,59.94,19,66,99.95,62,111,147,0,0,0,1,1,1,2,11.99,0,12,11.99,5,12,23,692.44,402,881,915.47,598,1071,953,596.27,345,745,812.35,523,946,842,66.09,46,100,61.04,42,74,58
G4201290802200,2010,Pennsylvania,42,Westmoreland County,129,802200,3269.64,3072,3345,3206.35,3024,3236,3113,3242.66,3046,3318,3150.45,2971,3180,2982,13,13,13,22,22,22,50,3,3,3,1,1,1,0,7,7,7,10,10,10,36,0,0,0,0,0,0,0,3.99,3,4,5.94,4,6,9,NA,16.97,16,17,36,3231.66,3035,3307,3151.45,2972,3181,2973,13,13,13,28,28,28,73,3,3,3,1,1,1,0,7,7,7,10,10,10,36,0,0,0,3,3,3,3,14.99,14,15,12.91,10,13,28,1520.1,1444,1546,1621.24,1544,1631,1629,966.98,898,989,1055.54,991,1065,1034,474.43,469,478,460.74,451,461,443
G4201290802301,2010,Pennsylvania,42,Westmoreland County,129,802301,5541.93,4723,7144,5978.81,5504,7464,6075,5480.86,4690,7042,5874.82,5401,7302,5978,46,24,47,44.02,44,54,32,1,1,1,11.03,11,14,1,14.05,8,50,18.05,18,46,33,0,0,0,1,1,1,0,0.01,0,4,6,6,6,3,NA,23.89,23,41,28,5470.85,4680,7023,5874.77,5401,7306,5964,46,24,47,48.87,48,59,38,1,1,1,11.03,11,13,1,12.05,8,48,19.05,19,47,35,0,0,0,3,3,3,2,12.02,10,25,22.09,22,36,35,1970.62,1675,2541,2261.43,2067,2811,2415,1757.88,1522,2256,2039.05,1870,2534,2155,163.68,120,210,149.16,133,183,168
G4201290802303,2010,Pennsylvania,42,Westmoreland County,129,802303,3115.33,3067,3454,3297.49,3247,3644,3111,3099.32,3051,3436,3250.46,3200,3595,3081,6.01,6,8,15,15,15,5,1,1,1,1,1,1,0,5,5,5,3.02,3,4,4,0,0,0,0,0,0,0,4,4,4,9.01,9,10,2,NA,19,19,19,19,3084.11,3036,3420,3247.46,3197,3592,3076,2.01,2,4,19,19,19,13,1,1,1,1,1,1,0,5,5,5,3.02,3,4,4,0,0,0,1.01,1,2,2,23.21,23,24,26,26,26,16,1071.74,1056,1196,1206.21,1190,1334,1241,954.62,941,1045,1098.49,1084,1193,1112,92.67,91,120,87.5,86,118,86
G4201290802304,2010,Pennsylvania,42,Westmoreland County,129,802304,3410.85,3285,3651,6236.21,6096,6453,6623,3380.76,3255,3608,6141.25,6002,6345,6460,10,10,10,10,10,10,37,1,1,2,0,0,0,8,16.09,16,28,54.03,54,67,49,0,0,0,3,3,3,1,3,3,3,8,8,8,19,NA,19.92,19,20,49,3366.76,3241,3594,6142.17,6002,6346,6447,5,5,5,13,13,13,48,1,1,2,0,0,0,8,16.09,16,28,54.03,54,67,51,0,0,0,4,4,4,7,22,22,22,23,23,23,62,1150.6,1104,1239,2068.87,2016,2162,2423,1033.77,993,1114,1893,1844,1976,2126,86.93,83,91,122.9,121,127,201
