geoid,year,pop,hu,own,vhu,rm,em,unemp,mhi,pov199,pov99,mhv
42091200507,1990,5.262,2.195,79.99053926206244,3.690205011389522,6.1573546180159635,0.8931965032307109,2.0791221590098705,91.74792046703746,3.922315328420241,0.41888804478274405,247.1120012579093
42091200602,1990,3.56176,1.3669,93.94694634882697,6.9485697563830575,7.4401419522932475,1.1230402946857734,3.132304737756222,109.02367729980173,7.138873219733056,0.4182933527187337,292.1919927632572
42091200603,1990,2.313,0.781,89.96036988110964,3.0729833546734953,5.015131863380891,0.43233895373973197,2.665573082546463,89.88767947159252,4.79943533233219,1.3645453395846423,337.82399801409133
42091200605,1990,1.99306,1.0426900000000001,97.01225996749403,4.4068706902339185,3.3094673042090865,0.5002333084136534,2.66557306587997,89.88767890956989,4.799435302323725,1.3645453310528237,337.82399590184707
42091200606,1990,2.47631,0.93822,84.98688664230795,4.902901238515486,9.924847858305284,1.0818516260080524,2.665573030994917,89.8876777331863,4.799435239512258,1.3645453131946617,337.82399148065593
42091200607,1990,1.83169,0.69478,85.13898572251357,5.037565848182159,9.62116952104341,1.0487582505773356,2.6655730593925155,89.88767869080182,4.79943529064289,1.3645453277318023,337.8239950796532
42091200703,1990,4.34822,1.5100799999999999,75.52682383011121,2.5826446280991737,7.083358247742745,0.6669395752744802,2.297012632736728,86.95310494136858,9.037459363595136,4.101801269522321,287.2371528629319
42091200704,1990,3.2743200000000003,1.20908,63.1563401327449,4.797035762728687,6.889085028601451,1.5435265948349581,4.659709659099228,83.5093275302767,9.293960005936253,1.9993059727402493,271.90592871223384
42091200707,1990,3.688,1.751,45.267224726336124,11.307824100513992,12.906724511930587,2.1963123644251628,2.86798816960773,69.58695948976312,14.999357794218565,4.019519682868502,256.86399811657975
42091200708,1990,4.10147,1.63377,62.58001350857298,1.2229383572963157,5.816451174822674,1.2668597676936133,2.867989649305116,69.5870603019637,14.999320587671535,4.019529638308265,256.8641775221614
42091200800,1990,2.6536399999999998,1.17327,46.34054898460165,4.518993922967431,5.103932711294677,1.8857117016626217,4.958218521680969,60.51008077064379,14.325269144610326,6.020362183977227,223.0553809796623
42091200901,1990,3.9469600000000002,1.61602,62.279959431786615,4.208487518718827,6.31978454358659,1.886515191438474,2.983732519772679,64.18082410834775,12.111209289720653,2.705719594401589,185.13252375371204
42091200902,1990,1.256,0.546,54.59770114942529,4.395604395604396,3.901273885350318,2.4681528662420384,6.284153027411632,52.44000018314459,13.830613878916692,3.4188034307434525,172.77600060341322
42091200903,1990,4.12288,1.92381,47.352006204869944,4.833637417416481,6.687315662837628,2.1805145917416957,1.4002333470020303,62.1294388806729,16.129813223572548,4.238314285473268,217.67199607841033
42091200906,1990,2.092,0.9,59.131545338441896,13,13.766730401529637,1.8164435946462716,1.6253869794957894,65.81495929510798,16.880552632631215,6.959526085383042,261.647997197695
42091200907,1990,2.77685,1.1065099999999999,74.1554054054054,3.1621946480375245,2.394439742874112,1.2964330086248808,0.8640833199293839,68.91899882755162,14.352432521127213,1.8775091397928814,218.52705538301043
42091200908,1990,2.10497,0.89699,61.573108017195175,2.229679260638357,4.513128453137109,2.3278241495128196,3.1599012196797496,70.60731275515654,14.756029814667588,6.96405513904314,198.64456617431745
42091201003,1990,3.97462,1.58682,76.56466715775085,5.038378644080617,10.04823090451187,0.6800633014896984,0.4521960992140708,86.67005976300713,8.33309034355204,2.134566777125065,299.48321942715035
42091201004,1990,2.77605,1.12839,62.6658901258378,7.179255399285707,9.65580591127682,1.6595522414942092,4.325311372387593,90.25133198514835,2.860937708899399,2.2265832455620247,266.94092182927096
42091201005,1990,3.787,1.126,93.96709323583181,2.841918294849023,8.00105624504885,0.5281225244256668,2.213462792435257,126.6140850203606,3.189555571849632,0.2974715041103283,371.68001473744175
42091201006,1990,1.66499,0.519,97.1830985915493,4.238921001926782,6.606646286163881,0.06006042078330801,2.21346263079965,126.61407577451082,3.1895553389359583,0.29747148238780957,371.67998759593075
42091201100,1990,3.80246,1.51499,62.43461010639021,2.8416029148707223,8.569715394770757,1.6831209269788503,3.8249811814001737,71.68144799679993,15.395967490769845,4.112015630162109,217.0548300157286
42091201201,1990,5.11762,1.75986,80.14211546283227,4.999261304876513,7.500556899496257,0.7229923284651849,1.8306636482136287,145.55872259628646,3.1870771142579652,2.1829295303136753,573.3440102265619
42091201203,1990,2.55838,1.0771400000000002,60.840968710793454,2.3228178324080626,2.9374057020458295,0.23452340934497612,4.344444519449529,76.00008581793293,8.39062215570186,2.272323127034444,414.43830881222283
42091201204,1990,2.28242,0.98315,81.46449735117365,2.8490057468341545,30.416705003001194,1.6657685011150396,4.589030432199808,77.36123726867531,8.876299415199854,5.782369222942708,220.2711588153282
42091201301,1990,3.406,1.39,55.932203389830505,2.3741007194244603,6.987668819729888,1.262477980035232,3.5078533890016232,70.96143971396292,13.193588109580244,1.6646115839190028,262.56799894161975
42091201302,1990,3.14445,1.22328,59.02759084791387,2.818651494343079,11.6048911574361,1.3992908139738272,5.010782195232269,60.316847999521215,22.59353127097627,3.871592881997873,171.31685826988428
42091201404,1990,4.786,1.681,75.39877300613497,3.0339083878643662,9.068115336397826,0.710405348934392,3.508771894714875,118.88607881039488,6.572468356413572,3.5538428246405642,464.7839953492501
42091201406,1990,4.41207,1.4869,97.66626500282526,1.2112448718811095,7.076480934162597,0.45330196483736657,2.898857714728816,131.97195788818217,3.837504068549976,1.9063845100764167,338.5215189883486
42091201407,1990,2.53519,0.8769199999999999,89.37430709534368,1.254390366281987,23.822277620217815,0.5127820794496665,5.468885238970179,85.61471097370134,19.588295562888568,8.780624272313675,281.84047495903144
42091201408,1990,3.413,1.128,96.68813247470102,3.6347517730496453,8.731321418107237,0.5859947260474656,2.185501044960986,141.3009586334064,4.724178358065931,2.9929577175324527,427.98399586074856
42091201409,1990,3.875,1.158,98.24868651488616,1.381692573402418,6.193548387096774,1.238709677419355,2.9258098385724103,141.16112078212322,4.905335655405901,1.8359150990992847,429.27200237844244
42091201410,1990,2.369,0.984,80.14705882352942,3.2520325203252036,5.90966652596032,1.4352047277332207,3.5689293486544043,92.94392071488716,10.793784207338947,3.0239395444684987,299.55200230403324
42091201411,1990,2.65536,1.08855,78.65019101070604,2.6089752422948043,6.453362255965297,0.2632421338053364,3.542965163537784,87.50181497297251,10.070266142762213,2.580663448656525,270.51000360129495
