geoid,baseline,pov199_90,change,final_moe,group
42029301300,21.407451212300412,9.35302436531116,12.054426846989251,9.863185581522307,2
42029301401,12.231404958677686,13.693396258674847,-1.4619912999971607,5.759662082201093,2
42029301402,9.990662931839402,10.04371000360692,-0.05304707176751755,3.4938659688251548,3
42029301500,11.499272197962155,12.228410014928855,-0.7291378169667002,4.4685314784107915,3
42029301600,22.268041237113405,13.885594398773277,8.382446838340128,9.7757164520967,2
42029301700,7.092198581560284,11.200829282038686,-4.108630700478402,4.56219854678387,3
42029301800,10.668789808917198,17.80260810045558,-7.133818291538381,5.377217762769379,2
42029301900,0,4.427926868573825,-4.427926868573825,0.8445032350058194,3
42029302000,4.0650406504065035,6.953121658032911,-2.8880810076264076,1.9438925489122825,3
42029302101,0.9773976786805132,11.421152873006305,-10.443755194325792,1.1160204174431596,3
42029302102,19.047619047619047,12.582128612826665,6.4654904347923825,9.505109661633567,2
42029302202,3.221649484536082,7.082704822053066,-3.861055337516984,2.6105344279379064,3
42029302203,7.037037037037037,4.8165382758528255,2.2204987611842117,3.6962636537774727,3
42029302204,12.535612535612536,4.816955493109513,7.718657042503023,3.906474087105672,3
42029302300,0,9.678782593875127,-9.678782593875127,2.3880674812109004,3
42029302400,27.04,31.268364261314968,-4.228364261314969,10.745107660919187,1
42029302500,2.375809935205184,25.767118077111434,-23.39130814190625,2.7102479895441824,2
42029302600,58.265582655826556,50.64787554084567,7.617707114980888,26.978768599579105,1
42029302702,17.46384872080089,9.06389330909805,8.39995541170284,9.35981290782542,3
42029302703,0,6.971290185205054,-6.971290185205054,0.9375183132343774,3
42029302704,10.18808777429467,4.369702845806423,5.818384928488247,5.251934069327198,3
42029302705,12.743823146944083,8.073013233429807,4.670809913514276,5.804940871485313,3
42029302706,2.8846153846153846,8.073013073295137,-5.188397688679752,2.247662138226559,3
42029302802,0,4.446791221776638,-4.446791221776638,1.19403374060545,3
42029302803,0,3.9053904892669182,-3.9053904892669182,11.164990821245766,3
42029302804,2.185792349726776,4.226989542102409,-2.0411971923756327,1.8621008550207332,3
42029302805,14.217633042096903,4.2237442912752465,9.993888750821657,7.272407729007108,3
42029302901,4.717853839037928,5.0742992621401575,-0.3564454231022296,2.777119509147042,3
42029302902,10.582010582010582,3.751943615012884,6.830066966997698,7.0581698606725265,3
42029303000,10.74964639321075,7.781752958585022,2.9678934346257275,5.021337567003392,3
42029303100,0,4.168342400266871,-4.168342400266871,0.7601275802262811,3
42029303301,41.53225806451613,11.11926579912469,30.412992265391438,15.193572913214568,2
42029303302,2.2629310344827585,11.06995453958468,-8.807023505101922,2.4411684150899564,3
42029303401,27.741935483870968,20.20467907604181,7.537256407829158,9.960653968066527,2
42029303402,46.86907020872865,24.90853092898698,21.96053927974167,14.882592608995676,2
42029303501,0.5412719891745602,6.048558799134665,-5.507286809960105,1.0550578510928648,3
42029303502,2.3494860499265786,6.048555749289585,-3.699069699363007,2.2462078792630784,3
42029303801,8.05523590333717,6.385097992058285,1.6701379112788848,4.025997599995841,3
42029303802,5.867454622203462,4.540867367686344,1.3265872545171176,2.656491011880663,3
42029303901,1.9488428745432398,6.626282393994172,-4.677439519450933,1.936176089069304,3
42029303902,5.555555555555555,6.626832091004508,-1.0712765354489528,5.58845079892222,3
42029304000,10.826210826210826,12.557395692111356,-1.7311848659005307,4.815638431680061,3
42029304101,29.171528588098017,10.255406307149274,18.91612228094874,11.348797245185224,2
42029304102,18.666666666666668,14.36347105059386,4.3031956160728075,9.089892587541158,2
42029304201,32.1258341277407,12.131437324222953,19.994396803517752,10.991053760878623,2
42029304300,1.8026137899954935,6.783390365749901,-4.980776575754408,1.406138779654044,3
42029304403,3.7934668071654376,4.5137154061696005,-0.7202485990041629,1.9586354471543816,3
42029304404,6.902985074626866,4.5206018549504305,2.382383219676435,3.570305899073582,3
42029304405,8.873538788522849,4.480748128350416,4.392790660172433,4.065331300430094,3
42029304406,6.455862977602108,4.480748039028979,1.975114938573129,3.816427518521993,3
42029304501,0.711344065892924,5.424770752246498,-4.713426686353573,0.784086400788502,3
42029304502,1.7811704834605597,5.425040189318907,-3.6438697058583474,1.8063670922800341,3
42029304600,4.89749430523918,14.200233349305124,-9.302739044065945,2.182493556675121,2
42029304900,43.76646180860404,24.584618907489133,19.18184290111491,17.235622586581435,2
42029305000,17.298578199052134,17.263614467258627,0.03496373179350698,5.0221776144607535,2
42029305101,39.037433155080215,14.508459589817083,24.528973565263133,18.30802813626091,2
42029305102,16.565481352992194,14.470985291196186,2.094496061796008,7.9738983354124,2
42029305300,40.03359462486002,18.029465045004127,22.004129579855896,15.188563339210683,2
42029305400,63.769123783031986,38.13596709139894,25.633156691633047,11.968556578256539,1
42029305500,74.39393939393939,46.72694979033911,27.66698960360028,21.138767964506147,1
42029305600,72.76084949215144,49.62788562064405,23.132963871507386,17.422817363271268,1
42029305700,72.58347978910369,21.26738973705766,51.316090052046036,21.463089771811735,1
42029306000,5.92173017507724,14.089474332201107,-8.167744157123867,3.658856381961064,2
42029306300,44.285714285714285,21.913290335609908,22.372423950104377,10.344302235766797,2
42029306501,12.646121147715197,31.60229574484824,-18.956174597133042,7.275716917378958,1
42029306503,36.18721461187215,31.653656185287794,4.5335584265843565,11.37131765392586,1
42029306504,28.582494190549962,31.653656777630868,-3.071162587080906,11.847354336867143,1
42029306600,3.2657657657657655,6.345317079640167,-3.0795513138744015,1.6947736047009112,3
42029306700,16.903765690376567,9.1400484741458925,7.763717216230674,8.237455751557915,3
42029306800,24.043715846994534,19.574225184499372,4.469490662495161,9.935010675720642,2
42029306900,15.166163141993957,11.846719728416758,3.319443413577199,5.892694912896454,3
42029307000,16.21160409556314,19.74267963390655,-3.531075538343412,8.261511716602588,2
42029307100,21.0752688172043,17.566476850702266,3.5087919665020344,9.1967033397551,2
42029307200,34.172661870503596,18.113480235420212,16.059181635083384,14.431834294453814,2
42029307300,24.378109452736318,14.178555807056712,10.199553645679606,11.4699698932269,2
42029307400,30.14460511679644,20.12088649895828,10.02371861783816,12.339705763605577,2
42029307700,32.49158249158249,12.201057374499756,20.290525117082737,11.490271032006111,2
42029307800,32.61802575107296,20.65009712730987,11.967928623763093,10.392624196867576,2
42029307900,43.36384439359268,20.81071627568769,22.55312811790499,9.55079502836831,2
42029308000,58.76685934489403,39.09385678198491,19.67300256290912,12.14637038357928,1
