geoid,year,pop,hu,own,vhu,rm,em,pov199,pov99,mhv,mhi,unemp
34005701201,2010,2.967,1.193,81.78603006189213,5.1969823973176865,35.760026963262554,6.268958543983821,16.717325227963524,9.878419452887538,246.62400000000002,67.80032000000001,4.577883472057074
34005701203,2010,1.857,0.788,65.02659574468085,4.568527918781726,29.509962304792676,5.546580506192784,39.03508771929825,8.771929824561402,228.14400000000003,63.365120000000005,6.009852216748769
34005701204,2010,2.818,1.203,36.16412213740458,12.884455527847049,63.697657913413764,6.8488289567068845,49.84567901234568,17.28395061728395,156.68800000000002,49.17472,13.493377483443709
34005701205,2010,2.278,1.039,64.18554476806904,10.779595765158806,29.455662862159787,7.1553994732221256,28.79177377892031,16.195372750642672,199.80800000000002,39.02976,14.326443335709193
34005701301,2010,4.426,1.998,69.84383414108778,7.057057057057057,25.802078626299142,5.241753276095797,17.06806282722513,5.445026178010471,244.04800000000003,76.94400000000002,7.940630797773656
34005701302,2010,2.649,1.091,83.0945558739255,4.032997250229148,11.43827859569649,3.5107587768969424,16.74347158218126,5.837173579109063,200.70400000000004,82.85424,3.826955074875208
34005701303,2010,5.034,1.964,90.16568679850347,4.7352342158859475,23.182359952324195,4.986094557012316,10.292249047013977,0,348.09600000000006,96.29984000000002,6.613226452905812
34005701401,2010,6.495,2.305,93.05555555555556,3.16702819956616,25.357967667436487,5.973826020015396,13.797722705961151,2.478231748158071,427.05600000000004,114.89632,8.483290488431876
34005701402,2010,2.049,1.224,96.40718562874252,4.493464052287582,7.027818448023426,1.9521717911176184,61.25654450261781,0,269.248,50.31600000000001,1.054481546572935
34005701502,2010,3.724,1.664,66.62362814719174,6.9110576923076925,15.70891514500537,6.095596133190118,20.11661807580175,4.956268221574344,332.30400000000003,74.15744000000001,3.466796875
34005701700,2010,3.924,2.014,52.77030661646046,7.696127110228401,16.488277268093782,5.81039755351682,15.013054830287206,0,284.816,74.54384000000002,12.3109243697479
34005702101,2010,2.887,1.391,0.4484304932735426,35.873472322070455,31.4859715968133,14.513335642535505,39.224137931034484,30.45977011494253,NA,62.952960000000004,13.815789473684212
34005702203,2010,3.309,1.465,62.7855563743552,7.3720136518771335,46.32819582955576,14.415231187669992,3.832116788321168,0,238.11200000000002,59.795680000000004,10.94559585492228
34005702204,2010,2.289,0.7,57.993730407523515,8.857142857142856,38.79423328964614,15.98951507208388,72.04433497536947,44.827586206896555,259.39200000000005,41.1768,19.155206286836936
34005702206,2010,1.875,0.772,78.71148459383754,7.512953367875648,20.106666666666666,8.746666666666666,39.57055214723926,16.87116564417178,214.70400000000004,68.32,14.901593252108716
34005702207,2010,3.682,1.595,73.6664415935179,7.147335423197493,31.45029875067898,10.320478001086366,44.01294498381877,21.898597626752967,152.768,53.33104000000001,9.767441860465116
34005702208,2010,7.064,2.574,91.29714048901782,6.2548562548562545,25.59456398640997,10.206681766704417,13.13497822931785,1.5965166908563133,232.84800000000004,92.02256000000001,9.977772289454185
34005702209,2010,3.065,1.139,85.07042253521126,6.4969271290605795,26.42740619902121,9.853181076672104,29.34131736526946,2.7944111776447107,214.92800000000003,69.87792000000002,10.37037037037037
34005702210,2010,4.863,1.859,74.94305239179954,5.540613232920926,39.50236479539379,13.798067036808554,36.3709032773781,23.101518784972022,193.98400000000004,63.642880000000005,7.504012841091493
34005702300,2010,1.409,0.642,66.60929432013769,9.501557632398754,25.621007806955287,12.70404542228531,33.50515463917525,12.886597938144329,255.80800000000002,73.43616,8.613138686131387
34005702400,2010,3.414,1.217,91.39414802065404,4.519309778142974,9.402460456942004,3.719976567076743,12.777053455019557,2.8683181225554106,450.24000000000007,95.66704000000001,7.6675603217158175
