geoid,pop,hu,own,mhv,vhu,rm,em,pov199,pov99,mhi,unemp,year
34007603100,3.769,1.615,58.128078817733986,213.9,12.012383900928793,41.337224728044575,22.074820907402497,9.175377468060395,0,70.563,8.35,2017
34007603601,3.537,1.475,90.1580459770115,215,5.627118644067797,12.807463952502122,4.467062482329657,8.809135399673735,4.730831973898858,88.2,3.5589264877479576,2017
34007603800,5.369,1.988,84.13125336202259,275.2,6.4889336016096575,7.934438442913019,3.4643322778915997,5.385852090032155,2.4115755627009645,105.096,6.550500161342368,2017
34007601500,5.746,2.858,33.06702174877941,73.6,21.168649405178446,82.85764009745911,36.04246432300731,62.85384170999422,31.311380704794917,18.277,10.016835016835017,2017
34007604400,3.442,1.405,75.50260610573343,279,4.412811387900356,12.579895409645555,9.180708890180128,20.089285714285715,16.517857142857142,84.131,1.59547092125579,2017
34007605100,2.212,0.959,82.89920724801813,147.1,7.924921793534932,1.9891500904159132,2.4412296564195297,28.799999999999997,7.466666666666668,57.438,5.956112852664576,2017
34007603400,7.27,2.922,72.81939920376402,225.2,5.441478439425051,34.45667125171939,13.576341127922973,21.539500337609724,5.671843349088454,73.625,8.144225920322743,2017
34007603505,3.488,1.214,94.58041958041959,229,5.766062602965404,28.841743119266056,4.615825688073395,7.003891050583658,2.594033722438392,110.341,3.8649706457925634,2017
34007603506,5.987,2.136,97.15936446798267,298.2,2.762172284644195,24.92066143310506,4.526474027058628,3.245614035087719,1.4912280701754386,132.797,4.302587176602925,2017
34007601800,1.5,0.63,59.175257731958766,63.5,23.015873015873016,74.93333333333332,37.86666666666667,100,38.04347826086957,29.922,20.868347338935575,2017
34007603504,2.685,0.968,94.9671772428884,272.2,5.578512396694215,17.839851024208567,6.033519553072626,5.924855491329479,0,104.922,4.166666666666666,2017
34007603603,2.293,0.868,97.0414201183432,287.9,2.6497695852534564,11.338857392062799,3.750545137374618,10.456273764258556,2.8517110266159698,123.487,1.511535401750199,2017
34007606100,2.229,0.829,84.27835051546391,518.4,6.393244873341375,5.15926424405563,4.7554957379991025,5.685131195335277,2.7696793002915454,145,3.4686971235194584,2017
34007606300,2.408,0.968,68.33156216790648,465.7,2.7892561983471076,7.101328903654484,1.744186046511628,9.076175040518638,6.158833063209076,105.179,5.347593582887701,2017
34007606500,2.917,1.28,70.03484320557492,161.5,10.3125,94.30922180322248,4.388069934864587,43.49593495934959,34.146341463414636,64.103,19.57708049113233,2017
34007606800,3.722,1.469,80.01508295625943,183.5,9.734513274336283,25.68511552928533,6.878022568511553,39.568345323741006,21.8705035971223,63.796,8.093278463648835,2017
34007607504,3.548,1.187,98.60262008733625,383.9,3.5383319292333613,17.587373167981962,6.989853438556934,6.545820745216516,1.9133937562940584,173.304,2.813852813852814,2017
34007607600,2.183,0.816,93.28165374677002,199.3,5.147058823529411,7.787448465414568,6.321575813101236,14.5679012345679,0,84.25,6.327033689400165,2017
34007609204,4.369,1.568,62.46458923512748,114.3,9.948979591836734,85.9464408331426,16.25085831998169,72.42152466367713,50.11210762331838,44.063,20.13078000934143,2017
34007601400,4.644,2.006,47.46177370030581,83.6,18.494516450648053,92.67872523686476,14.707149009474591,80.10355029585799,50.887573964497044,32.303,15.536892621475703,2017
34007603700,4.067,1.532,62.22076215505913,217.6,0.6527415143603132,23.407917383820998,8.015736415047947,42.96875,11.71875,76.31,6.077116512992456,2017
34007607300,4.31,1.74,63.48143639683506,154.6,5.574712643678161,27.842227378190255,10.417633410672854,30.946291560102303,20.33248081841432,53.938,11.326378539493295,2017
34007603200,6.797,2.944,68.93732970027247,199.7,12.737771739130435,20.75915845225835,11.755186111519789,18.729903536977492,6.270096463022508,75.951,5.2001019627835845,2017
34007603302,6.83,2.325,80.92252575011196,246.9,3.9569892473118284,28.579795021961935,8.62371888726208,30.54272517321016,24.76905311778291,95.778,7.994616419919247,2017
34007609202,4.849,1.923,72.82674772036474,155.2,14.456578263130526,78.94411218808001,13.177974840173231,33.7593984962406,11.954887218045112,74.601,8.799429996437476,2017
34007603602,2.603,0.909,97.45075318655852,351.1,5.060506050605061,7.760276603918556,8.451786400307338,14.554794520547945,6.164383561643835,146.625,5.598958333333334,2017
34005702801,2.108,0.731,91.37426900584795,173.2,6.429548563611491,83.01707779886148,14.231499051233396,25.247524752475247,8.663366336633663,78.947,12.66490765171504,2017
34005702208,6.767,2.555,84.96762257169289,189.7,15.38160469667319,26.20067976946948,12.235850450716713,33.17880794701987,20.33112582781457,78.125,9.916160740098293,2017
34005702601,4.233,1.857,78.62595419847328,206.9,8.29294561120086,25.135837467517124,8.504606661941885,6.906077348066299,0,74.964,9.695290858725762,2017
34005702700,8.73,3.324,90.17285531370038,237.9,6.016847172081829,39.61053837342497,12.107674684994272,9.729187562688065,1.354062186559679,105,9.142974023317652,2017
34005702806,3.63,1.257,79.39609236234459,141.4,10.421638822593476,77.1900826446281,8.84297520661157,20.058997050147493,16.371681415929203,70.263,11.991657977059438,2017
34005702809,1.994,0.888,47.3463687150838,111.7,19.36936936936937,78.234704112337,12.286860581745236,31.752577319587626,19.587628865979383,56.25,25.22603978300181,2017
34005702909,6.561,2.593,82.86169788760462,272.9,3.23949093713845,28.16643804298125,3.246456332876086,14.119170984455959,1.6191709844559583,110.703,3.1508264462809916,2017
34005702910,5.305,2.121,83.89999999999999,457.1,5.704856199905705,21.07445805843544,2.280867106503299,15.004055150040552,15.004055150040552,116.053,3.3715676051442474,2017
34005703201,3.736,1.466,92.23580158159598,251.8,5.115961800818554,6.263383297644539,4.362955032119915,34.868421052631575,11.18421052631579,69.12,6.201194304088195,2017
34005704004,3.855,1.826,52.06463195691203,244,8.488499452354874,18.21011673151751,8.819714656290532,14.696485623003195,10.223642172523961,72.021,6.440281030444965,2017
34005704009,4.605,2.02,57.51816657350475,239.2,11.435643564356436,16.199782844733985,2.5624321389793705,19.090909090909093,7.07070707070707,89.844,6.685432793807178,2017
34005704011,3.105,1.126,96.1218836565097,391.7,3.818827708703375,8.88888888888889,4.798711755233494,2.6499302649930265,0,125.977,5.451541850220265,2017
34005700103,2.702,1.505,69.6923076923077,159.7,13.621262458471762,24.685418208734273,5.699481865284974,32.86118980169972,0,65.556,6.8924539512774805,2017
34005701104,4.536,1.959,63.12389900176159,237,13.067891781521185,48.6331569664903,9.788359788359788,31.50259067357513,0,74.583,7.380772142316427,2017
34005704013,5.228,1.831,98.22958309537407,288.3,4.369197160021846,16.277735271614386,7.03902065799541,3.5596026490066226,2.4834437086092715,111.719,2.798134576948701,2017
34005700306,2.503,0.886,95.3883495145631,254.5,6.997742663656885,4.155013983220136,6.552137435077906,2.462121212121212,0,111,4.668470906630582,2017
34005704007,3.79,1.527,70.64917127071824,243.4,5.1735428945645054,5.408970976253298,5.883905013192612,6.278026905829597,2.092675635276532,62.039,3.237597911227154,2017
34005700701,3.257,1.337,66.18819776714514,171.9,6.207928197456993,17.009517961314096,13.693583051888242,28.699551569506728,0,64.348,5.422885572139304,2017
34005701502,4.018,1.869,66.74514420247203,251.8,9.095773140716961,17.844698855151815,7.740169238427078,22.815533980582526,13.915857605177994,72.25,7.161803713527852,2017
34005703900,4.075,1.528,92.37458193979933,291.4,2.1596858638743455,3.01840490797546,1.987730061349693,0.8791208791208791,0,105.598,7.8169299311462135,2017
