geoid,year,pop,hu,own,vhu,rm,em,unemp,mhi,pov199,pov99,mhv
34005700102,2000,2.76,1.138,80.36866359447005,4.657293497363796,3.876811594202899,1.6304347826086956,3.463203463203463,76.00266,13.442028985507246,2.753623188405797,165.288
34005700103,2000,2.467,1.308,65.1778329197684,7.568807339449542,16.295095257397648,3.1617349006890962,4.0894568690095845,76.22418,10.925705204608661,3.3770361541517673,148.39
34005700104,2000,1.864,0.773,62.53521126760564,8.15006468305304,45.01072961373391,5.686695278969957,8.036739380022963,60.349999999999994,26.45234066553864,7.557811618725324,145.69199999999998
34005700200,2000,2.759,1.113,76.26641651031895,4.22282120395328,4.168176875679594,1.0873504893077202,2.170767004341534,83.74734,9.965896172792725,3.10723758999621,218.11200000000002
34005700303,2000,2.411,0.902,92.12328767123287,2.882483370288248,23.973454997926172,2.364164247200332,7.243816254416961,78.71202,14.60101867572156,3.0560271646859083,223.792
34005700304,2000,2.39,0.894,95.9954233409611,2.237136465324385,5.941422594142259,1.0878661087866108,2.741935483870968,87.22918,10.197934595524957,3.141135972461274,203.06
34005700305,2000,4.93337,1.6952,96.47380154076943,1.2983718735252472,6.844017059367236,1.2557364554786192,2.624303449186721,105.00348931658922,7.737982482995204,3.345234528743038,237.95624917719903
34005700306,2000,2.622,0.895,97.74266365688487,1.005586592178771,4.385964912280701,1.7543859649122806,5.090909090909091,99.67974,6.4653503677893935,1.7808749516066593,207.178
34005700307,2000,2.266,0.769,98.67724867724867,1.6905071521456438,3.927625772285966,1.500441306266549,4.1356492969396195,113.92801999999999,4.121475054229935,0,243.53
34005700401,2000,2.051,0.807,90.42145593869732,2.973977695167286,1.8527547537786446,0.9263773768893223,2.936096718480138,73.39128,9.1765873015873,4.315476190476191,167.56
34005700402,2000,3.452,1.313,93.141075604053,2.284843869002285,3.0127462340672073,1.8539976825028968,2.984201287302516,65.1567,15.773897602841078,5.948505474992602,147.82199999999997
34005700403,2000,4.248,1.651,79.30174563591022,2.8467595396729255,4.731638418079096,2.236346516007533,4.276315789473684,66.70733999999999,18.423621278672524,4.904831625183016,153.50199999999998
34005700405,2000,1.741,0.703,80.99415204678363,2.7027027027027026,2.757036186099943,1.4359563469270535,1.3230429988974641,75.96148,14.838337182448038,3.0023094688221708,149.242
34005700407,2000,5.23122,2.93412,12.764862020044848,10.63351192180279,43.45066733954985,9.57711585442784,4.003318900690064,59.85868130332754,18.25302044256522,6.212664412451288,98.83200215190959
34005700408,2000,2.35582,1.60091,10.25021535479703,7.182789788307914,23.21909144162117,6.197417459738011,4.003309075157761,59.86044920125183,18.25258707974523,6.21247983143305,98.83610976745604
34005700501,2000,5.387,2.259,76.17295308187673,3.7627268702965915,9.021718953035085,1.6892519027287918,3.7887067395264116,89.10499999999999,10.952292556153703,4.046779283460182,251.19799999999998
34005700502,2000,1.91863,0.7258,89.12137438013026,2.478644254615598,6.273193512071046,1.9310553308593585,2.294455100882272,106.22736157229134,11.974270340518952,7.075705201215745,208.03000307909159
34005700503,2000,3.69018,1.36907,83.55867184156989,2.702564514597501,20.406050653355663,2.4389054192478414,3.1917700253161434,116.86279622547914,9.765991574501237,3.6789305652930477,443.7014158576502
34005700504,2000,3.13882,1.1879300000000002,72.59831002793123,4.4615423467712745,6.912788882446271,1.9115463773010237,2.0710058472149853,87.29733705167762,13.503272020697635,3.0657939026583922,282.011990475514
34005700505,2000,4.855,1.661,89.40520446096654,2.8296207104154125,9.845520082389289,1.0916580844490216,2.7527289985761745,213.66455999999997,1.7849643007139857,1.0709785804283916,609.89
34005700602,2000,4.51,1.705,93.73116335141651,2.6979472140762466,10.776053215077605,2.4390243902439024,2.841357537490134,95.72362,8.349988896291363,2.3984010659560293,206.89399999999998
