"V1","V2"
-869.430724281756,122
-815.718585030624,122
-788.702441660376,122
-870.747480591856,122
-733.634662574892,121
-867.817314995328,122
-793.417381699738,122
-897.610296548287,121
-895.498834471025,122
-845.073343960817,122
-890.724337475614,122
-777.41839443103,122
-894.160947139649,122
-787.289682305657,51
-840.703905292453,122
-758.096036647018,122
-811.642544251432,122
-836.624652446326,121
-802.98685867836,122
-811.041470400435,121
-835.467428709887,122
-705.639724431195,122
-908.898805652726,123
-835.104428789715,123
-825.226396961876,122
-820.817052239306,123
-843.735726167918,52
-847.270127383095,122
-801.613419665329,122
-793.087533872488,122
-864.181594078764,122
-786.133392487882,122
-760.631897265724,122
-849.817531569461,123
-978.515893602963,122
-769.782705789303,122
-853.490043898466,121
-825.627942015502,122
-781.578737072585,122
-789.459512887727,122
-851.83162609122,122
-826.521598969193,122
-857.095813613823,122
-796.101627163402,122
-833.831746947123,122
-789.284368726046,121
-810.824149461885,123
-861.772747332276,122
-777.649711518083,122
-806.160640251298,52
-826.748837890755,122
-721.334998152238,122
-838.892725471507,122
-861.91869892129,121
-865.395650973093,123
-889.35941183596,121
-830.663084865023,122
-799.25968566483,122
-832.317917176297,50
-847.927663093927,122
-842.735857947598,123
-809.147476231448,123
-752.417296028736,122
-900.216639867415,122
-699.144577891801,122
-791.713378974308,122
-793.660248325628,121
-809.356494286956,122
-707.913922261508,122
-853.946878555597,121
-777.862268401398,122
-791.759130369695,123
-866.634984355206,122
-874.956339994539,122
-925.893936863098,122
-849.585638479004,123
-894.779499198488,123
-882.114726585046,123
-824.435549673714,122
-851.196180392103,122
-714.055459263373,122
-868.443674384696,122
-739.778133443303,122
-793.558904908928,122
-844.324788564322,122
-788.162207617833,122
-818.322070850696,52
-888.266069842562,51
-764.516175060763,121
-768.702774199776,122
-830.98242637423,122
-913.731501503135,122
-900.18247636769,123
-828.079990777527,123
-745.455676815949,122
-830.555705700243,122
-845.238477783495,51
-849.668700987656,122
-807.770053246403,122
-827.473444362853,122
-805.568727939824,122
-794.532476283128,122
-812.249525343606,122
-851.843756592807,122
-840.459452231197,122
-799.274217054996,123
-825.834372417494,121
-693.165553146792,122
-843.952698008296,51
-738.044403651933,122
-809.164558775451,122
-805.761329553573,122
-729.81208526041,123
-798.145247379559,122
-827.484810376122,122
-755.601712719359,122
-816.560787288735,122
-787.929800924462,122
-857.712489014081,122
-896.271904487966,122
-873.771181880807,122
-971.449431869057,122
-864.52075980366,50
-743.532438256334,122
-896.845790406267,122
-881.221100874373,122
-814.065118740267,121
-767.416738613086,122
-766.1549375481,51
-767.033929398363,122
-820.202247403404,122
-791.390515614557,122
-872.232759610288,122
-799.458943819783,122
-890.522606490956,122
-895.566521790079,122
-823.888841405218,122
-829.98736325557,122
-689.072841998878,122
-799.199086997095,121
-859.458926410267,122
-796.889592207093,122
-780.328465512521,122
-849.690784431315,122
-748.520861094215,122
-779.344789791426,123
-868.293110623299,122
-736.644744825299,122
-937.57478614402,122
-782.09985733996,122
-877.108953351704,122
-900.84010772842,122
-871.427863503753,122
-805.088499522509,122
-892.986419675918,123
-822.742974012139,51
-848.051066145632,122
-862.685120019996,123
-724.942618351239,121
-872.497090098837,122
-790.587180775634,122
-785.557988498721,122
-927.769951097484,122
-801.082492110865,122
-871.070720791722,123
-783.728558032292,122
-770.503721592954,123
-893.545772737629,122
-830.286916813851,122
-793.971631084952,123
-802.068905548895,123
-877.602067868421,122
-759.932862977314,121
-814.131526628688,122
-811.606732875059,122
-734.914720425188,122
-846.074831295312,52
-795.84290278545,122
-781.487004170615,122
-830.825724833167,123
-747.398166243523,122
-780.9759301248,122
-779.358855302537,122
-879.217068811188,122
-812.581708389456,122
-859.400730832964,122
-889.804811800607,121
-863.18895270116,122
-855.619073928772,121
-774.955221826158,122
-861.525488856982,122
-814.85839696839,51
-809.990592592195,121
-795.749263034181,122
-835.284125628337,122
-808.528001035961,122
-767.195738174928,122
-879.405951596999,122
-804.448640304594,122
-773.830401105905,123
-791.386342986526,122
-838.723404854912,121
-829.180962317516,121
-888.83102471864,122
-881.805727547092,122
-754.890402215636,123
-854.461491273306,123
-838.29524305349,122
-811.924513287785,122
-832.748409562808,122
-908.930836240559,122
-819.901724581496,122
-821.558657373645,123
-757.667023470678,122
-870.755516311301,122
-766.576762818658,122
-817.316806420908,50
-840.538125489958,122
-847.82383257395,122
-858.093305191724,122
-817.393693505962,122
-905.847895425732,123
-887.64556815527,123
-802.053100063479,122
-793.399433099625,122
-808.089462456892,122
-783.441754791065,123
-754.525351228212,122
-701.803317775314,122
-873.188572145527,122
-729.36707645243,122
-775.656226391923,123
-825.736648319107,123
-808.191247216747,122
-780.876626962982,123
-740.027111111171,122
-778.372829015869,122
-799.32190841496,122
-919.633890801457,123
-796.057722593228,122
-817.381665895056,122
-781.120784539984,122
-841.129801820033,122
-933.573068652356,122
-864.213256652971,122
-808.659699475908,122
-776.901526421498,122
-880.625306100652,122
-830.965492407014,123
-858.413204291389,122
-839.098216708626,122
-771.527581941249,122
-755.392142217494,122
-831.415477244231,122
-916.349757221934,122
-856.685663209099,123
-778.165163811328,122
-844.946184688908,122
-837.094441362264,122
-864.661472446168,121
-780.40315649925,122
-854.027643311056,123
-911.902083525065,122
-833.994670357148,122
-851.848923532975,121
-748.725385333966,122
-849.187747524967,122
-918.740440333281,122
-736.480434565124,121
