"GEOID","tot200_b","univ_b","tot199_b","li_b","hi_b"
"34007609202",2898,4097,1199,0.292653160849402,0.707346839150598
"34007600700",568,1718,1150,0.669383003492433,0.330616996507567
"34007609205",4611,5339,728,0.13635512268215,0.86364487731785
"34007608206",3097,3702,605,0.163425175580767,0.836574824419233
"34007607801",3974,5765,1791,0.310667823070252,0.689332176929748
"34007607701",2729,4436,1707,0.384806131650135,0.615193868349865
"34007600200",1076,2464,1388,0.563311688311688,0.436688311688312
"34007600300",1424,3862,2438,0.631279129984464,0.368720870015536
"34007600500",139,826,687,0.831719128329298,0.168280871670702
"34007600800",1254,5536,4282,0.773482658959538,0.226517341040462
"34007600400",1358,3895,2537,0.651347881899872,0.348652118100128
"34007600900",1128,4341,3213,0.74015203870076,0.25984796129924
"34007608302",3475,4647,1172,0.25220572412309,0.74779427587691
"340213002",5620,5886,266,0.0451919809717975,0.954808019028203
"340212902",3836,4872,1036,0.21264367816092,0.78735632183908
"340212903",2363,2555,192,0.075146771037182,0.924853228962818
"340212601",3113,3904,791,0.202612704918033,0.797387295081967
"340212800",4612,6188,1576,0.254686489980608,0.745313510019392
"340212702",5363,6625,1262,0.190490566037736,0.809509433962264
"340212500",5340,6708,1368,0.203935599284436,0.796064400715564
"34007603501",5582,6192,610,0.0985142118863049,0.901485788113695
"34007603602",2591,2706,115,0.0424981522542498,0.95750184774575
"34007608403",5255,6139,884,0.143997393712331,0.856002606287669
"34007608901",4327,5522,1195,0.216407098877218,0.783592901122782
"34007608002",3255,3596,341,0.0948275862068965,0.905172413793103
"34007608903",3249,3592,343,0.0954899777282851,0.904510022271715
"34007603603",2094,2313,219,0.0946822308690013,0.905317769130999
"34007608700",5320,6095,775,0.127153404429861,0.872846595570139
"34007607401",2380,2873,493,0.171597633136095,0.828402366863905
"34007603302",5345,6041,696,0.115212713126966,0.884787286873034
"34007603200",4676,5676,1000,0.176180408738548,0.823819591261452
"34007603400",6494,7310,816,0.111627906976744,0.888372093023256
"34007602800",2089,2818,729,0.258694109297374,0.741305890702626
"34007607505",4031,4536,505,0.111331569664903,0.888668430335097
"34021100",1490,2927,1437,0.490946361462248,0.509053638537752
"340213703",3158,3462,304,0.0878105141536684,0.912189485846332
"340212602",3096,4040,944,0.233663366336634,0.766336633663366
"340213704",1839,2018,179,0.0887016848364718,0.911298315163528
"340213705",4781,5269,488,0.0926171949136459,0.907382805086354
"340213602",2830,3225,395,0.122480620155039,0.877519379844961
"340213601",2822,3323,501,0.150767378874511,0.849232621125489
"34007603303",1902,2359,457,0.193726155150487,0.806273844849512
"34007607702",3094,4459,1365,0.306122448979592,0.693877551020408
"34007606200",3594,3929,335,0.0852634258080937,0.914736574191906
"34007608202",3783,4255,472,0.110928319623972,0.889071680376028
"34007604400",2913,3367,454,0.134838134838135,0.865161865161865
"34007608504",1254,1782,528,0.296296296296296,0.703703703703704
"340213500",5477,6758,1281,0.189553122225511,0.81044687777449
"340213400",2036,2832,796,0.281073446327684,0.718926553672316
"340214404",6375,7394,1019,0.1378144441439,0.8621855558561
"340214405",4666,5257,591,0.112421533193837,0.887578466806163
"340214403",4203,5197,994,0.191264190879353,0.808735809120646
"340214406",4064,4997,933,0.18671202721633,0.81328797278367
"34007608209",3067,3563,496,0.139208532135841,0.860791467864159
"34007608208",6809,8602,1793,0.20843989769821,0.79156010230179
"34007607503",6073,6741,668,0.0990950897492954,0.900904910250705
"34007608205",3941,4220,279,0.0661137440758294,0.933886255924171
"34007606500",1969,2713,744,0.274235164025064,0.725764835974936
"34007606400",3066,3184,118,0.0370603015075377,0.962939698492462
"34007607900",1724,1967,243,0.12353838332486,0.87646161667514
"34007605400",2069,2531,462,0.182536546819439,0.817463453180561
"34007606300",1957,2173,216,0.0994017487344685,0.900598251265532
"34007607300",3302,4394,1092,0.248520710059172,0.751479289940828
